,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,sca_types_sca,sca_types_passlive,sca_types_passdead,sca_types_drib,sca_types_sh,sca_types_fld,sca_types_def,gca_types_gca,gca_types_passlive,gca_types_passdead,gca_types_drib,gca_types_sh,gca_types_fld,gca_types_def,team
29,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Home,D,0,0,Rayo Vallecano,35.0,30.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
30,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Away,W,4,1,Real Sociedad,29.0,22.0,1.0,2.0,0.0,0.0,4.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,Barcelona
31,2022-08-28,19:30,La Liga,Matchweek 3,Sun,Home,W,4,0,Valladolid,44.0,33.0,2.0,6.0,2.0,1.0,0.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,Barcelona
32,2022-09-03,21:00,La Liga,Matchweek 4,Sat,Away,W,3,0,Sevilla,27.0,22.0,1.0,0.0,2.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,Barcelona
33,2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,W,5,1,cz Viktoria Plzeň,38.0,26.0,3.0,5.0,0.0,1.0,3.0,10.0,8.0,1.0,0.0,0.0,0.0,1.0,Barcelona
34,2022-09-10,18:30,La Liga,Matchweek 5,Sat,Away,W,4,0,Cádiz,28.0,23.0,0.0,0.0,3.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Barcelona
35,2022-09-13,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,de Bayern Munich,29.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
36,2022-09-17,16:15,La Liga,Matchweek 6,Sat,Home,W,3,0,Elche,47.0,39.0,4.0,0.0,3.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,Barcelona
37,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Away,W,1,0,Mallorca,20.0,15.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Barcelona
38,2022-10-04,21:00,Champions Lg,Group stage,Tue,Away,L,0,1,it Inter,15.0,9.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
