,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
2461,34.0,Wed,2016-04-20,20:45,Athletic Club,0–1,Atlético Madrid,44474.0,San Mamés,Juan Martínez,,
2462,34.0,Wed,2016-04-20,20:45,Valencia,4–0,Eibar,34309.0,Estadio de Mestalla,Javier Estrada,,
2463,34.0,Wed,2016-04-20,22:00,Real Madrid,3–0,Villarreal,62678.0,Estadio Santiago Bernabéu,Carlos Clos Gómez,,
2464,34.0,Thu,2016-04-21,20:30,Real Sociedad,1–2,Getafe,14334.0,Estadio Municipal de Anoeta,José Sánchez,,
2465,34.0,Thu,2016-04-21,21:00,Granada,5–1,Levante,21131.0,Estadio Nuevo Los Cármenes,Santiago Jaime,,
2467,35.0,Fri,2016-04-22,20:00,Las Palmas,4–0,Espanyol,19358.0,Estadio de Gran Canaria,Mario Melero,,
2468,35.0,Sat,2016-04-23,16:00,Rayo Vallecano,2–3,Real Madrid,13314.0,Estadio del Rayo Vallecano,Alejandro Hernández,,
2469,35.0,Sat,2016-04-23,18:15,Atlético Madrid,1–0,Málaga,47621.0,Estadio Vicente Calderón,Antonio Matéu Lahoz,,
2470,35.0,Sat,2016-04-23,20:30,Barcelona,6–0,Sporting Gijón,77299.0,Camp Nou,Carlos Clos Gómez,,
2471,35.0,Sat,2016-04-23,22:05,Eibar,1–1,La Coruña,4606.0,Estadio Municipal de Ipurúa,Eduardo Prieto,,
2472,35.0,Sun,2016-04-24,12:00,Levante,2–2,Athletic Club,15263.0,Estadio Ciudad de Valencia,Ignacio Iglesias,,
2473,35.0,Sun,2016-04-24,16:00,Sevilla,2–0,Betis,39523.0,Estadio Ramón Sánchez Pizjuán,Carlos Velasco,,
2474,35.0,Sun,2016-04-24,18:15,Getafe,2–2,Valencia,11637.0,Coliseum Alfonso Pérez,Ricardo de Burgos,,
2475,35.0,Sun,2016-04-24,20:30,Villarreal,0–0,Real Sociedad,17216.0,Estadio de la Cerámica,David Fernández,,
2476,35.0,Mon,2016-04-25,20:30,Celta Vigo,2–1,Granada,18224.0,Estadio de Balaídos,Jesús Gil,,
2478,36.0,Fri,2016-04-29,20:30,Sporting Gijón,2–0,Eibar,26035.0,Estadio Municipal El Molinón,Alejandro Hernández,,
2479,36.0,Sat,2016-04-30,16:00,Real Sociedad,0–1,Real Madrid,26426.0,Estadio Municipal de Anoeta,Alberto Undiano,,
2480,36.0,Sat,2016-04-30,18:15,Atlético Madrid,1–0,Rayo Vallecano,49263.0,Estadio Vicente Calderón,José Sánchez,,
2481,36.0,Sat,2016-04-30,20:30,Betis,0–2,Barcelona,40467.0,Estadio Benito Villamarín,Antonio Matéu Lahoz,,
2482,36.0,Sat,2016-04-30,22:05,Granada,3–2,Las Palmas,21291.0,Estadio Nuevo Los Cármenes,José González,,
2483,36.0,Sun,2016-05-01,12:00,Athletic Club,2–1,Celta Vigo,42362.0,San Mamés,Javier Estrada,,
2484,36.0,Sun,2016-05-01,16:00,Espanyol,1–0,Sevilla,27654.0,RCDE Stadium,Juan Martínez,,
2485,36.0,Sun,2016-05-01,18:15,La Coruña,0–2,Getafe,25007.0,Estadio Municipal de Riazor,Carlos Clos Gómez,,
2486,36.0,Sun,2016-05-01,20:30,Valencia,0–2,Villarreal,38283.0,Estadio de Mestalla,Carlos del Cerro,,
2487,36.0,Mon,2016-05-02,20:30,Málaga,3–1,Levante,17562.0,Estadio La Rosaleda,Iñaki Bikandi,,
2489,37.0,Sun,2016-05-08,16:00,Las Palmas,0–0,Athletic Club,27410.0,Estadio de Gran Canaria,Pedro Pérez,,
2490,37.0,Sun,2016-05-08,17:00,Getafe,1–1,Sporting Gijón,13028.0,Coliseum Alfonso Pérez,Alfonso Álvarez,,
2491,37.0,Sun,2016-05-08,17:00,Eibar,1–1,Betis,5165.0,Estadio Municipal de Ipurúa,Juan Martínez,,
2492,37.0,Sun,2016-05-08,17:00,Levante,2–1,Atlético Madrid,12054.0,Estadio Ciudad de Valencia,José González,,
2493,37.0,Sun,2016-05-08,17:00,Barcelona,5–0,Espanyol,91610.0,Camp Nou,Jesús Gil,,
2494,37.0,Sun,2016-05-08,17:00,Celta Vigo,1–0,Málaga,20040.0,Estadio de Balaídos,Carlos del Cerro,,
2495,37.0,Sun,2016-05-08,17:00,Sevilla,1–4,Granada,21915.0,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,,
2496,37.0,Sun,2016-05-08,17:00,Villarreal,0–2,La Coruña,13247.0,Estadio de la Cerámica,Javier Estrada,,
2497,37.0,Sun,2016-05-08,17:00,Real Sociedad,2–1,Rayo Vallecano,18873.0,Estadio Municipal de Anoeta,Santiago Jaime,,
2498,37.0,Sun,2016-05-08,17:00,Real Madrid,3–2,Valencia,72987.0,Estadio Santiago Bernabéu,David Fernández,,
2500,38.0,Fri,2016-05-13,20:30,Valencia,0–1,Real Sociedad,27732.0,Estadio de Mestalla,Carlos Velasco,,
2501,38.0,Sat,2016-05-14,17:00,Granada,0–3,Barcelona,21692.0,Estadio Nuevo Los Cármenes,Alejandro Hernández,,
2502,38.0,Sat,2016-05-14,17:00,La Coruña,0–2,Real Madrid,29017.0,Estadio Municipal de Riazor,Antonio Matéu Lahoz,,
