,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
1255,1.0,Fri,2022-08-12,21:00,Osasuna,2–1,Sevilla,18536.0,Estadio El Sadar,Carlos del Cerro,1.3,0.8
1256,1.0,Sat,2022-08-13,17:00,Celta Vigo,2–2,Espanyol,13859.0,Estadio de Balaídos,Miguel Ángel Ortiz Arias,0.3,1.2
1257,1.0,Sat,2022-08-13,19:00,Valladolid,0–3,Villarreal,17543.0,Estadio Municipal José Zorrilla,Mario Melero,0.9,1.4
1258,1.0,Sat,2022-08-13,21:00,Barcelona,0–0,Rayo Vallecano,81104.0,Camp Nou,Alejandro Hernández,2.1,0.9
1259,1.0,Sun,2022-08-14,17:30,Cádiz,0–1,Real Sociedad,16570.0,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,0.3,1.7
1260,1.0,Sun,2022-08-14,19:30,Valencia,1–0,Girona,39359.0,Estadio de Mestalla,Jorge Figueroa,1.7,0.1
1261,1.0,Sun,2022-08-14,22:00,Almería,1–2,Real Madrid,14386.0,Estadio de los Juegos Mediterráneos,Juan Martínez,0.6,2.4
1262,1.0,Mon,2022-08-15,17:30,Athletic Club,0–0,Mallorca,39747.0,San Mamés,Javier Villanueva,1.6,0.4
1263,1.0,Mon,2022-08-15,19:30,Getafe,0–3,Atlético Madrid,12235.0,Coliseum Alfonso Pérez,José Sánchez,0.6,1.2
1264,1.0,Mon,2022-08-15,21:30,Betis,3–0,Elche,50622.0,Estadio Benito Villamarín,Guillermo Cuadra,3.0,0.4
1266,2.0,Fri,2022-08-19,20:00,Espanyol,0–2,Rayo Vallecano,16071.0,RCDE Stadium,Jorge Figueroa,1.0,1.6
1267,2.0,Fri,2022-08-19,22:00,Sevilla,1–1,Valladolid,33991.0,Estadio Ramón Sánchez Pizjuán,Juan Pulido,2.6,0.8
1268,2.0,Sat,2022-08-20,17:30,Osasuna,2–0,Cádiz,18587.0,Estadio El Sadar,Antonio Matéu Lahoz,2.6,1.3
1269,2.0,Sat,2022-08-20,19:30,Mallorca,1–2,Betis,15579.0,Iberostar Estadi,Pablo González,1.0,2.2
1270,2.0,Sat,2022-08-20,22:00,Celta Vigo,1–4,Real Madrid,15681.0,Estadio de Balaídos,Jesús Gil,1.3,3.4
1271,2.0,Sun,2022-08-21,17:30,Athletic Club,1–0,Valencia,43333.0,San Mamés,César Soto,1.5,0.9
1272,2.0,Sun,2022-08-21,19:30,Atlético Madrid,0–2,Villarreal,57033.0,Estadio Wanda Metropolitano,Ricardo de Burgos,1.3,2.0
1273,2.0,Sun,2022-08-21,22:00,Real Sociedad,1–4,Barcelona,36201.0,Estadio Municipal de Anoeta,José Luis Munuera,0.6,2.2
1274,2.0,Mon,2022-08-22,20:00,Elche,1–1,Almería,23361.0,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,1.1,0.9
1275,2.0,Mon,2022-08-22,22:00,Girona,3–1,Getafe,10460.0,Estadi Municipal de Montilivi,Alejandro Muñíz,1.1,0.7
1277,3.0,Fri,2022-08-26,20:00,Girona,0–1,Celta Vigo,11329.0,Estadi Municipal de Montilivi,Carlos del Cerro,0.8,0.7
1278,3.0,Fri,2022-08-26,22:00,Betis,1–0,Osasuna,52580.0,Estadio Benito Villamarín,Juan Martínez,0.4,1.0
1279,3.0,Sat,2022-08-27,17:30,Elche,0–1,Real Sociedad,22656.0,Estadio Manuel Martínez Valero,Javier Villanueva,0.8,1.7
1280,3.0,Sat,2022-08-27,19:30,Rayo Vallecano,0–2,Mallorca,10944.0,Estadio del Rayo Vallecano,José Sánchez,0.9,0.6
1281,3.0,Sat,2022-08-27,22:00,Almería,2–1,Sevilla,13788.0,Estadio de los Juegos Mediterráneos,Jesús Gil,2.1,1.1
1282,3.0,Sun,2022-08-28,17:30,Getafe,0–0,Villarreal,9815.0,Coliseum Alfonso Pérez,Jorge Figueroa,0.3,0.8
1283,3.0,Sun,2022-08-28,19:30,Barcelona,4–0,Valladolid,83972.0,Camp Nou,Ricardo de Burgos,2.9,0.6
1284,3.0,Sun,2022-08-28,22:00,Espanyol,1–3,Real Madrid,25778.0,RCDE Stadium,Mario Melero,1.1,1.6
1285,3.0,Mon,2022-08-29,20:00,Cádiz,0–4,Athletic Club,17029.0,Estadio Nuevo Mirandilla,Miguel Ángel Ortiz Arias,0.4,2.2
1286,3.0,Mon,2022-08-29,22:00,Valencia,0–1,Atlético Madrid,43910.0,Estadio de Mestalla,Guillermo Cuadra,0.6,1.7
1288,4.0,Fri,2022-09-02,21:00,Celta Vigo,3–0,Cádiz,14510.0,Estadio de Balaídos,Juan Pulido,0.8,0.3
1289,4.0,Sat,2022-09-03,14:00,Mallorca,1–1,Girona,13390.0,Iberostar Estadi,Isidro Díaz de Mera,0.9,1.3
1290,4.0,Sat,2022-09-03,16:15,Real Madrid,2–1,Betis,58579.0,Estadio Santiago Bernabéu,José Sánchez,2.6,0.5
1291,4.0,Sat,2022-09-03,18:30,Real Sociedad,1–1,Atlético Madrid,35366.0,Estadio Municipal de Anoeta,César Soto,1.0,1.2
1292,4.0,Sat,2022-09-03,21:00,Sevilla,0–3,Barcelona,40233.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,1.1,3.2
1293,4.0,Sun,2022-09-04,14:00,Osasuna,2–1,Rayo Vallecano,18745.0,Estadio El Sadar,Alejandro Muñíz,2.3,0.2
1294,4.0,Sun,2022-09-04,16:15,Athletic Club,0–1,Espanyol,41574.0,San Mamés,Juan Martínez,1.3,0.5
1295,4.0,Sun,2022-09-04,18:30,Villarreal,4–0,Elche,13915.0,Estadio Ciudad de Valencia,Miguel Ángel Ortiz Arias,3.7,0.3
1296,4.0,Sun,2022-09-04,21:00,Valencia,5–1,Getafe,38725.0,Estadio de Mestalla,José Luis Munuera,1.9,0.5
1297,4.0,Mon,2022-09-05,21:00,Valladolid,1–0,Almería,20260.0,Estadio Municipal José Zorrilla,Pablo González,1.3,0.6
1299,5.0,Fri,2022-09-09,21:00,Girona,2–1,Valladolid,10053.0,Estadi Municipal de Montilivi,César Soto,1.9,0.8
1300,5.0,Sat,2022-09-10,14:00,Rayo Vallecano,2–1,Valencia,12085.0,Estadio del Rayo Vallecano,Jesús Gil,1.0,1.4
1301,5.0,Sat,2022-09-10,16:15,Espanyol,2–3,Sevilla,20135.0,RCDE Stadium,Guillermo Cuadra,2.4,1.8
1302,5.0,Sat,2022-09-10,18:30,Cádiz,0–4,Barcelona,19530.0,Estadio Nuevo Mirandilla,Carlos del Cerro,0.3,3.0
1303,5.0,Sat,2022-09-10,21:00,Atlético Madrid,4–1,Celta Vigo,52247.0,Estadio Wanda Metropolitano,Alejandro Hernández,0.8,1.4
1304,5.0,Sun,2022-09-11,14:00,Real Madrid,4–1,Mallorca,54816.0,Estadio Santiago Bernabéu,Jorge Figueroa,1.6,0.4
1305,5.0,Sun,2022-09-11,16:15,Elche,1–4,Athletic Club,24176.0,Estadio Manuel Martínez Valero,Mario Melero,0.9,2.2
1306,5.0,Sun,2022-09-11,18:30,Getafe,2–1,Real Sociedad,11112.0,Coliseum Alfonso Pérez,Juan Pulido,1.1,1.0
1307,5.0,Sun,2022-09-11,21:00,Betis,1–0,Villarreal,53276.0,Estadio Benito Villamarín,Ricardo de Burgos,1.2,2.0
1308,5.0,Mon,2022-09-12,21:00,Almería,0–1,Osasuna,12397.0,Estadio de los Juegos Mediterráneos,Javier Villanueva,0.3,2.1
1310,6.0,Fri,2022-09-16,21:00,Valladolid,0–1,Cádiz,20295.0,Estadio Municipal José Zorrilla,José Sánchez,1.4,0.4
1311,6.0,Sat,2022-09-17,14:00,Mallorca,1–0,Almería,12687.0,Iberostar Estadi,Juan Martínez,0.6,0.4
1312,6.0,Sat,2022-09-17,16:15,Barcelona,3–0,Elche,85073.0,Camp Nou,Alejandro Muñíz,4.1,0.0
1313,6.0,Sat,2022-09-17,18:30,Valencia,3–0,Celta Vigo,40965.0,Estadio de Mestalla,Pablo González,1.8,0.4
1314,6.0,Sat,2022-09-17,21:00,Athletic Club,3–2,Rayo Vallecano,43484.0,San Mamés,Antonio Matéu Lahoz,2.6,1.0
1315,6.0,Sun,2022-09-18,14:00,Osasuna,0–2,Getafe,18255.0,Estadio El Sadar,Isidro Díaz de Mera,0.9,1.4
1316,6.0,Sun,2022-09-18,16:15,Villarreal,1–1,Sevilla,18292.0,Estadio Ciudad de Valencia,Alejandro Hernández,1.6,0.5
1317,6.0,Sun,2022-09-18,18:30,Betis,2–1,Girona,52229.0,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,1.6,1.2
1318,6.0,Sun,2022-09-18,18:30,Real Sociedad,2–1,Espanyol,31511.0,Estadio Municipal de Anoeta,Carlos del Cerro,1.9,0.9
1319,6.0,Sun,2022-09-18,21:00,Atlético Madrid,1–2,Real Madrid,66881.0,Estadio Wanda Metropolitano,José Luis Munuera,1.0,0.9
1321,7.0,Fri,2022-09-30,21:00,Athletic Club,4–0,Almería,42110.0,San Mamés,Juan Pulido,1.9,0.7
1322,7.0,Sat,2022-10-01,14:00,Cádiz,0–0,Villarreal,15516.0,Estadio Nuevo Mirandilla,Javier Villanueva,0.7,1.4
1323,7.0,Sat,2022-10-01,16:15,Getafe,2–3,Valladolid,10958.0,Coliseum Alfonso Pérez,Alejandro Muñíz,2.5,1.5
1324,7.0,Sat,2022-10-01,18:30,Sevilla,0–2,Atlético Madrid,37754.0,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,0.5,2.3
1325,7.0,Sat,2022-10-01,21:00,Mallorca,0–1,Barcelona,18103.0,Iberostar Estadi,Jesús Gil,0.9,0.5
1326,7.0,Sun,2022-10-02,14:00,Espanyol,2–2,Valencia,19766.0,RCDE Stadium,Valentín Pizarro,0.7,0.9
1327,7.0,Sun,2022-10-02,16:15,Celta Vigo,1–0,Betis,14344.0,Estadio de Balaídos,César Soto,1.1,0.9
1328,7.0,Sun,2022-10-02,18:30,Girona,3–5,Real Sociedad,12217.0,Estadi Municipal de Montilivi,Mario Melero,1.1,2.1
1329,7.0,Sun,2022-10-02,21:00,Real Madrid,1–1,Osasuna,55410.0,Estadio Santiago Bernabéu,Guillermo Cuadra,2.6,0.5
1330,7.0,Mon,2022-10-03,21:00,Rayo Vallecano,2–1,Elche,11662.0,Estadio del Rayo Vallecano,Jorge Figueroa,0.8,0.6
1332,8.0,Fri,2022-10-07,21:00,Osasuna,1–2,Valencia,20260.0,Estadio El Sadar,Miguel Ángel Ortiz Arias,1.5,2.2
1333,8.0,Sat,2022-10-08,14:00,Almería,,Rayo Vallecano,,Estadio de los Juegos Mediterráneos,,,
1334,8.0,Sat,2022-10-08,16:15,Atlético Madrid,,Girona,,Estadio Wanda Metropolitano,,,
1335,8.0,Sat,2022-10-08,18:30,Sevilla,,Athletic Club,,Estadio Ramón Sánchez Pizjuán,,,
1336,8.0,Sat,2022-10-08,21:00,Getafe,,Real Madrid,,Coliseum Alfonso Pérez,,,
1337,8.0,Sun,2022-10-09,14:00,Valladolid,,Betis,,Estadio Municipal José Zorrilla,,,
1338,8.0,Sun,2022-10-09,16:15,Cádiz,,Espanyol,,Estadio Nuevo Mirandilla,,,
1339,8.0,Sun,2022-10-09,18:30,Real Sociedad,,Villarreal,,Estadio Municipal de Anoeta,,,
1340,8.0,Sun,2022-10-09,21:00,Barcelona,,Celta Vigo,,Camp Nou,,,
1341,8.0,Mon,2022-10-10,21:00,Elche,,Mallorca,,Estadio Manuel Martínez Valero,,,
1343,9.0,Fri,2022-10-14,21:00,Rayo Vallecano,,Getafe,,Estadio del Rayo Vallecano,,,
1344,9.0,Sat,2022-10-15,14:00,Girona,,Cádiz,,Estadi Municipal de Montilivi,,,
1345,9.0,Sat,2022-10-15,16:15,Valencia,,Elche,,Estadio de Mestalla,,,
1346,9.0,Sat,2022-10-15,18:30,Mallorca,,Sevilla,,Iberostar Estadi,,,
1347,9.0,Sat,2022-10-15,21:00,Athletic Club,,Atlético Madrid,,San Mamés,,,
1348,9.0,Sun,2022-10-16,14:00,Celta Vigo,,Real Sociedad,,Estadio de Balaídos,,,
1349,9.0,Sun,2022-10-16,16:15,Real Madrid,,Barcelona,,Estadio Santiago Bernabéu,,,
1350,9.0,Sun,2022-10-16,18:30,Espanyol,,Valladolid,,RCDE Stadium,,,
1351,9.0,Sun,2022-10-16,21:00,Betis,,Almería,,Estadio Benito Villamarín,,,
1352,9.0,Mon,2022-10-17,21:00,Villarreal,,Osasuna,,Estadio Ciudad de Valencia,,,
1354,10.0,Tue,2022-10-18,19:00,Sevilla,,Valencia,,Estadio Ramón Sánchez Pizjuán,,,
1355,10.0,Tue,2022-10-18,20:00,Getafe,,Athletic Club,,Coliseum Alfonso Pérez,,,
1356,10.0,Tue,2022-10-18,21:00,Atlético Madrid,,Rayo Vallecano,,Estadio Wanda Metropolitano,,,
1357,10.0,Wed,2022-10-19,19:00,Valladolid,,Celta Vigo,,Estadio Municipal José Zorrilla,,,
1358,10.0,Wed,2022-10-19,19:00,Cádiz,,Betis,,Estadio Nuevo Mirandilla,,,
1359,10.0,Wed,2022-10-19,20:00,Real Sociedad,,Mallorca,,Estadio Municipal de Anoeta,,,
1360,10.0,Wed,2022-10-19,21:00,Elche,,Real Madrid,,Estadio Manuel Martínez Valero,,,
1361,10.0,Thu,2022-10-20,19:00,Almería,,Girona,,Estadio de los Juegos Mediterráneos,,,
1362,10.0,Thu,2022-10-20,20:00,Osasuna,,Espanyol,,Estadio El Sadar,,,
1363,10.0,Thu,2022-10-20,21:00,Barcelona,,Villarreal,,Camp Nou,,,
1365,11.0,Sat,2022-10-22,14:00,Rayo Vallecano,,Cádiz,,Estadio del Rayo Vallecano,,,
1366,11.0,Sat,2022-10-22,16:15,Valladolid,,Real Sociedad,,Estadio Municipal José Zorrilla,,,
1367,11.0,Sat,2022-10-22,18:30,Valencia,,Mallorca,,Estadio de Mestalla,,,
1368,11.0,Sat,2022-10-22,21:00,Real Madrid,,Sevilla,,Estadio Santiago Bernabéu,,,
1369,11.0,Sun,2022-10-23,14:00,Espanyol,,Elche,,RCDE Stadium,,,
1370,11.0,Sun,2022-10-23,16:15,Betis,,Atlético Madrid,,Estadio Benito Villamarín,,,
1371,11.0,Sun,2022-10-23,18:30,Girona,,Osasuna,,Estadi Municipal de Montilivi,,,
1372,11.0,Sun,2022-10-23,18:30,Villarreal,,Almería,,Estadio Ciudad de Valencia,,,
1373,11.0,Sun,2022-10-23,21:00,Barcelona,,Athletic Club,,Camp Nou,,,
1374,11.0,Mon,2022-10-24,21:00,Celta Vigo,,Getafe,,Estadio de Balaídos,,,
1672,1.0,Fri,2016-08-19,20:45,Málaga,1–1,Osasuna,22347.0,Estadio La Rosaleda,Santiago Jaime,,
1673,1.0,Fri,2016-08-19,22:00,La Coruña,2–1,Eibar,21441.0,Estadio Municipal de Riazor,Mario Melero,,
1674,1.0,Sat,2016-08-20,18:15,Barcelona,6–2,Betis,65731.0,Camp Nou,Alberto Undiano,,
1675,1.0,Sat,2016-08-20,20:15,Granada,1–1,Villarreal,15149.0,Estadio Nuevo Los Cármenes,Javier Estrada,,
1676,1.0,Sat,2016-08-20,22:15,Sevilla,6–4,Espanyol,29420.0,Estadio Ramón Sánchez Pizjuán,José González,,
1677,1.0,Sun,2016-08-21,18:15,Sporting Gijón,2–1,Athletic Club,24833.0,Estadio Municipal El Molinón,Carlos Clos,,
1678,1.0,Sun,2016-08-21,20:15,Real Sociedad,0–3,Real Madrid,27653.0,Estadio Municipal de Anoeta,Juan Martínez,,
1679,1.0,Sun,2016-08-21,22:15,Atlético Madrid,1–1,Alavés,36455.0,Estadio Vicente Calderón,Ignacio Iglesias,,
1680,1.0,Mon,2016-08-22,20:00,Celta Vigo,0–1,Leganés,16578.0,Estadio de Balaídos,José Luis Munuera,,
1681,1.0,Mon,2016-08-22,22:00,Valencia,2–4,Las Palmas,37144.0,Estadio de Mestalla,Iñaki Bikandi,,
1683,2.0,Fri,2016-08-26,20:45,Betis,0–0,La Coruña,33172.0,Estadio Benito Villamarín,Carlos Clos,,
1684,2.0,Fri,2016-08-26,22:00,Espanyol,2–2,Málaga,17304.0,RCDE Stadium,Jesús Gil,,
1685,2.0,Sat,2016-08-27,18:15,Eibar,1–0,Valencia,3576.0,Estadio Municipal de Ipurúa,Alejandro Hernández,,
1686,2.0,Sat,2016-08-27,18:15,Osasuna,0–2,Real Sociedad,16343.0,Estadio El Sadar,Alfonso Álvarez,,
1687,2.0,Sat,2016-08-27,20:15,Real Madrid,2–1,Celta Vigo,61568.0,Estadio Santiago Bernabéu,Ricardo de Burgos,,
1688,2.0,Sat,2016-08-27,22:15,Leganés,0–0,Atlético Madrid,10958.0,Estadio Municipal de Butarque,José Sánchez,,
1689,2.0,Sun,2016-08-28,17:15,Las Palmas,5–1,Granada,18837.0,Estadio de Gran Canaria,Daniel Ocón,,
1690,2.0,Sun,2016-08-28,18:15,Alavés,0–0,Sporting Gijón,16236.0,Estadio de Mendizorroza,José Luis Munuera,,
1691,2.0,Sun,2016-08-28,20:15,Athletic Club,0–1,Barcelona,46635.0,San Mamés,Antonio Matéu Lahoz,,
1692,2.0,Sun,2016-08-28,22:15,Villarreal,0–0,Sevilla,18740.0,Estadio de la Cerámica,Carlos del Cerro,,
1694,3.0,Fri,2016-09-09,20:45,Real Sociedad,1–1,Espanyol,19739.0,Estadio Municipal de Anoeta,Ignacio Iglesias,,
1695,3.0,Sat,2016-09-10,13:00,Celta Vigo,0–4,Atlético Madrid,18064.0,Estadio de Balaídos,Santiago Jaime,,
1696,3.0,Sat,2016-09-10,16:00,Real Madrid,5–2,Osasuna,69567.0,Estadio Santiago Bernabéu,David Fernández,,
1697,3.0,Sat,2016-09-10,18:15,Sevilla,2–1,Las Palmas,34060.0,Estadio Ramón Sánchez Pizjuán,Juan Martínez,,
1698,3.0,Sat,2016-09-10,18:15,Málaga,0–2,Villarreal,21800.0,Estadio La Rosaleda,Alberto Undiano,,
1699,3.0,Sat,2016-09-10,20:30,Barcelona,1–2,Alavés,74237.0,Camp Nou,Mario Melero,,
1700,3.0,Sun,2016-09-11,12:00,Sporting Gijón,2–1,Leganés,22682.0,Estadio Municipal El Molinón,Iñaki Bikandi,,
1701,3.0,Sun,2016-09-11,16:00,Valencia,2–3,Betis,36789.0,Estadio de Mestalla,José González,,
1702,3.0,Sun,2016-09-11,18:15,Granada,1–2,Eibar,15883.0,Estadio Nuevo Los Cármenes,Daniel Trujillo,,
1703,3.0,Sun,2016-09-11,20:30,La Coruña,0–1,Athletic Club,23245.0,Estadio Municipal de Riazor,Javier Estrada,,
1705,4.0,Fri,2016-09-16,20:45,Betis,2–2,Granada,36090.0,Estadio Benito Villamarín,Carlos del Cerro,,
1706,4.0,Sat,2016-09-17,13:00,Leganés,1–5,Barcelona,10958.0,Estadio Municipal de Butarque,Ricardo de Burgos,,
1707,4.0,Sat,2016-09-17,16:15,Atlético Madrid,5–0,Sporting Gijón,45821.0,Estadio Vicente Calderón,Daniel Ocón,,
1708,4.0,Sat,2016-09-17,18:30,Eibar,1–1,Sevilla,4265.0,Estadio Municipal de Ipurúa,Alfonso Álvarez,,
1709,4.0,Sat,2016-09-17,19:45,Las Palmas,1–0,Málaga,18980.0,Estadio de Gran Canaria,José Sánchez,,
1710,4.0,Sun,2016-09-18,12:00,Osasuna,0–0,Celta Vigo,14854.0,Estadio El Sadar,Daniel Trujillo,,
1711,4.0,Sun,2016-09-18,16:15,Athletic Club,2–1,Valencia,40907.0,San Mamés,Jesús Gil,,
1712,4.0,Sun,2016-09-18,18:30,Villarreal,2–1,Real Sociedad,18692.0,Estadio de la Cerámica,Carlos Clos,,
1713,4.0,Sun,2016-09-18,20:45,Espanyol,0–2,Real Madrid,29484.0,RCDE Stadium,Alejandro Hernández,,
1714,4.0,Mon,2016-09-19,20:45,Alavés,0–0,La Coruña,16854.0,Estadio de Mendizorroza,Juan Martínez,,
1716,5.0,Tue,2016-09-20,20:00,Málaga,2–1,Eibar,30370.0,Estadio La Rosaleda,Ignacio Iglesias,,
1717,5.0,Tue,2016-09-20,22:00,Sevilla,1–0,Betis,39849.0,Estadio Ramón Sánchez Pizjuán,Javier Estrada,,
1718,5.0,Wed,2016-09-21,20:00,Real Madrid,1–1,Villarreal,67328.0,Estadio Santiago Bernabéu,José González,,
1719,5.0,Wed,2016-09-21,20:00,Celta Vigo,2–1,Sporting Gijón,14863.0,Estadio de Balaídos,Mario Melero,,
1720,5.0,Wed,2016-09-21,22:00,Granada,1–2,Athletic Club,14603.0,Estadio Nuevo Los Cármenes,Juan Martínez,,
1721,5.0,Wed,2016-09-21,22:00,Barcelona,1–1,Atlético Madrid,89421.0,Camp Nou,David Fernández,,
1722,5.0,Wed,2016-09-21,22:00,Real Sociedad,4–1,Las Palmas,10974.0,Estadio Municipal de Anoeta,José Luis Munuera,,
1723,5.0,Thu,2016-09-22,20:00,La Coruña,1–2,Leganés,19467.0,Estadio Municipal de Riazor,Alberto Undiano,,
1724,5.0,Thu,2016-09-22,20:00,Osasuna,1–2,Espanyol,14631.0,Estadio El Sadar,Iñaki Bikandi,,
1725,5.0,Thu,2016-09-22,22:00,Valencia,2–1,Alavés,32285.0,Estadio de Mestalla,Santiago Jaime,,
1727,6.0,Fri,2016-09-23,20:45,Betis,1–0,Málaga,37038.0,Estadio Benito Villamarín,Alfonso Álvarez,,
1728,6.0,Sat,2016-09-24,13:00,Eibar,2–0,Real Sociedad,4798.0,Estadio Municipal de Ipurúa,José Sánchez,,
1729,6.0,Sat,2016-09-24,16:15,Sporting Gijón,0–5,Barcelona,26098.0,Estadio Municipal El Molinón,Carlos del Cerro,,
1730,6.0,Sat,2016-09-24,18:30,Athletic Club,3–1,Sevilla,42415.0,San Mamés,Alejandro Hernández,,
1731,6.0,Sat,2016-09-24,19:45,Las Palmas,2–2,Real Madrid,22520.0,Estadio de Gran Canaria,Javier Estrada,,
1732,6.0,Sun,2016-09-25,12:00,Leganés,1–2,Valencia,10622.0,Estadio Municipal de Butarque,David Fernández,,
1733,6.0,Sun,2016-09-25,16:15,Atlético Madrid,1–0,La Coruña,45653.0,Estadio Vicente Calderón,Jesús Gil,,
1734,6.0,Sun,2016-09-25,18:30,Villarreal,3–1,Osasuna,17679.0,Estadio de la Cerámica,Daniel Ocón,,
1735,6.0,Sun,2016-09-25,20:45,Espanyol,0–2,Celta Vigo,17484.0,RCDE Stadium,Alberto Undiano,,
1736,6.0,Mon,2016-09-26,20:45,Alavés,3–1,Granada,16371.0,Estadio de Mendizorroza,José González,,
1738,7.0,Fri,2016-09-30,20:45,Real Sociedad,1–0,Betis,18310.0,Estadio Municipal de Anoeta,Daniel Trujillo,,
1739,7.0,Sat,2016-10-01,13:00,Granada,0–1,Leganés,15050.0,Estadio Nuevo Los Cármenes,Santiago Jaime,,
1740,7.0,Sat,2016-10-01,16:15,Sevilla,2–1,Alavés,32122.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,,
1741,7.0,Sat,2016-10-01,18:30,Osasuna,2–2,Las Palmas,15415.0,Estadio El Sadar,Ignacio Iglesias,,
1742,7.0,Sat,2016-10-01,20:45,La Coruña,2–1,Sporting Gijón,24957.0,Estadio Municipal de Riazor,Ricardo de Burgos,,
1743,7.0,Sun,2016-10-02,12:00,Valencia,0–2,Atlético Madrid,43276.0,Estadio de Mestalla,Carlos Clos,,
1744,7.0,Sun,2016-10-02,16:15,Real Madrid,1–1,Eibar,72103.0,Estadio Santiago Bernabéu,Juan Martínez,,
1745,7.0,Sun,2016-10-02,18:30,Espanyol,0–0,Villarreal,20254.0,RCDE Stadium,José Luis Munuera,,
1746,7.0,Sun,2016-10-02,18:30,Málaga,2–1,Athletic Club,23080.0,Estadio La Rosaleda,Carlos del Cerro,,
1747,7.0,Sun,2016-10-02,20:45,Celta Vigo,4–3,Barcelona,20901.0,Estadio de Balaídos,Iñaki Bikandi,,
1749,8.0,Fri,2016-10-14,19:45,Las Palmas,0–0,Espanyol,20575.0,Estadio de Gran Canaria,David Fernández,,
1750,8.0,Sat,2016-10-15,13:00,Leganés,2–3,Sevilla,10922.0,Estadio Municipal de Butarque,Daniel Ocón,,
1751,8.0,Sat,2016-10-15,16:15,Barcelona,4–0,La Coruña,83553.0,Camp Nou,José Sánchez,,
1752,8.0,Sat,2016-10-15,18:30,Atlético Madrid,7–1,Granada,48293.0,Estadio Vicente Calderón,Ricardo de Burgos,,
1753,8.0,Sat,2016-10-15,20:45,Betis,1–6,Real Madrid,41655.0,Estadio Benito Villamarín,Jesús Gil,,
1754,8.0,Sun,2016-10-16,12:00,Alavés,1–1,Málaga,17068.0,Estadio de Mendizorroza,Alejandro Hernández,,
1755,8.0,Sun,2016-10-16,16:15,Athletic Club,3–2,Real Sociedad,47256.0,San Mamés,José González,,
1756,8.0,Sun,2016-10-16,18:30,Sporting Gijón,1–2,Valencia,25309.0,Estadio Municipal El Molinón,José Luis Munuera,,
1757,8.0,Sun,2016-10-16,20:45,Villarreal,5–0,Celta Vigo,18152.0,Estadio de la Cerámica,Javier Estrada,,
1758,8.0,Mon,2016-10-17,20:45,Eibar,2–3,Osasuna,5250.0,Estadio Municipal de Ipurúa,Mario Melero,,
1760,9.0,Fri,2016-10-21,20:45,Osasuna,1–2,Betis,15044.0,Estadio El Sadar,Carlos del Cerro,,
1761,9.0,Sat,2016-10-22,13:00,Espanyol,3–3,Eibar,17330.0,RCDE Stadium,Jesús Gil,,
1762,9.0,Sat,2016-10-22,16:15,Valencia,2–3,Barcelona,46770.0,Estadio de Mestalla,Alberto Undiano,,
1763,9.0,Sat,2016-10-22,18:30,Real Sociedad,3–0,Alavés,24224.0,Estadio Municipal de Anoeta,Carlos Clos,,
1764,9.0,Sat,2016-10-22,20:45,Granada,0–0,Sporting Gijón,14622.0,Estadio Nuevo Los Cármenes,Iñaki Bikandi,,
1765,9.0,Sun,2016-10-23,12:00,Celta Vigo,4–1,La Coruña,21024.0,Estadio de Balaídos,Alfonso Álvarez,,
1766,9.0,Sun,2016-10-23,16:15,Sevilla,1–0,Atlético Madrid,34526.0,Estadio Ramón Sánchez Pizjuán,Juan Martínez,,
1767,9.0,Sun,2016-10-23,18:30,Málaga,4–0,Leganés,18991.0,Estadio La Rosaleda,Daniel Trujillo,,
1768,9.0,Sun,2016-10-23,18:30,Villarreal,2–1,Las Palmas,18312.0,Estadio de la Cerámica,Santiago Jaime,,
1769,9.0,Sun,2016-10-23,20:45,Real Madrid,2–1,Athletic Club,72910.0,Estadio Santiago Bernabéu,Ignacio Iglesias,,
1771,10.0,Fri,2016-10-28,20:45,Leganés,0–2,Real Sociedad,10922.0,Estadio Municipal de Butarque,Alejandro Hernández,,
1772,10.0,Sat,2016-10-29,13:00,Sporting Gijón,1–1,Sevilla,22803.0,Estadio Municipal El Molinón,Ignacio Iglesias,,
1773,10.0,Sat,2016-10-29,16:15,Alavés,1–4,Real Madrid,19840.0,Estadio de Mendizorroza,José Sánchez,,
1774,10.0,Sat,2016-10-29,18:30,Atlético Madrid,4–2,Málaga,47471.0,Estadio Vicente Calderón,Javier Estrada,,
1775,10.0,Sat,2016-10-29,20:45,Barcelona,1–0,Granada,82914.0,Camp Nou,Juan Martínez,,
1776,10.0,Sun,2016-10-30,12:00,Eibar,2–1,Villarreal,4678.0,Estadio Municipal de Ipurúa,David Fernández,,
1777,10.0,Sun,2016-10-30,16:15,Athletic Club,1–1,Osasuna,43696.0,San Mamés,José Luis Munuera,,
1778,10.0,Sun,2016-10-30,18:30,Betis,0–1,Espanyol,38282.0,Estadio Benito Villamarín,Ricardo de Burgos,,
1779,10.0,Sun,2016-10-30,19:45,Las Palmas,3–3,Celta Vigo,21194.0,Estadio de Gran Canaria,Mario Melero,,
