,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,team
0,2022-08-15,19:30,La Liga,Matchweek 1,Mon,Away,W,3.0,0.0,Getafe,1.2,0.6,58.0,12235.0,Koke,3-5-2,José Sánchez,Atletico Madrid
1,2022-08-21,19:30,La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Villarreal,1.3,2.0,51.0,57033.0,Koke,3-5-2,Ricardo de Burgos,Atletico Madrid
2,2022-08-29,22:00,La Liga,Matchweek 3,Mon,Away,W,1.0,0.0,Valencia,1.7,0.6,31.0,43910.0,Koke,3-5-2,Guillermo Cuadra,Atletico Madrid
3,2022-09-03,18:30,La Liga,Matchweek 4,Sat,Away,D,1.0,1.0,Real Sociedad,1.2,1.0,45.0,35366.0,Koke,3-5-2,César Soto,Atletico Madrid
5,2022-09-10,21:00,La Liga,Matchweek 5,Sat,Home,W,4.0,1.0,Celta Vigo,0.8,1.4,46.0,52247.0,Mario Hermoso,3-5-2,Alejandro Hernández,Atletico Madrid
7,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Home,L,1.0,2.0,Real Madrid,1.0,0.9,54.0,66881.0,Koke,3-5-2,José Luis Munuera,Atletico Madrid
8,2022-10-01,18:30,La Liga,Matchweek 7,Sat,Away,W,2.0,0.0,Sevilla,2.3,0.5,40.0,37754.0,Koke,4-1-4-1,Ricardo de Burgos,Atletico Madrid
10,2022-10-08,16:15,La Liga,Matchweek 8,Sat,Home,W,2.0,1.0,Girona,1.5,0.5,45.0,54069.0,Koke,3-4-3,Juan Martínez,Atletico Madrid
12,2022-10-15,21:00,La Liga,Matchweek 9,Sat,Away,,,,Athletic Club,,,,,,,,Atletico Madrid
13,2022-10-18,21:00,La Liga,Matchweek 10,Tue,Home,,,,Rayo Vallecano,,,,,,,,Atletico Madrid
14,2022-10-23,16:15,La Liga,Matchweek 11,Sun,Away,,,,Betis,,,,,,,,Atletico Madrid
45,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Away,W,2.0,1.0,Almería,2.4,0.6,67.0,14386.0,Karim Benzema,4-3-3,Juan Martínez,Real Madrid
46,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Away,W,4.0,1.0,Celta Vigo,3.4,1.3,50.0,15681.0,Karim Benzema,4-3-3,Jesús Gil,Real Madrid
47,2022-08-28,22:00,La Liga,Matchweek 3,Sun,Away,W,3.0,1.0,Espanyol,1.6,1.1,65.0,25778.0,Karim Benzema,4-3-3,Mario Melero,Real Madrid
48,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,Betis,2.6,0.5,49.0,58579.0,Karim Benzema,4-3-3,José Sánchez,Real Madrid
50,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Home,W,4.0,1.0,Mallorca,1.6,0.4,68.0,54816.0,Toni Kroos,4-3-3,Jorge Figueroa,Real Madrid
52,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Away,W,2.0,1.0,Atlético Madrid,0.9,1.0,46.0,66881.0,Luka Modrić,4-3-3,José Luis Munuera,Real Madrid
53,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Home,D,1.0,1.0,Osasuna,2.6,0.5,64.0,55410.0,Karim Benzema,4-3-3,Guillermo Cuadra,Real Madrid
55,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Away,W,1.0,0.0,Getafe,1.2,0.3,65.0,14502.0,Luka Modrić,4-3-3,Antonio Matéu Lahoz,Real Madrid
57,2022-10-16,16:15,La Liga,Matchweek 9,Sun,Home,,,,Barcelona,,,,,,,,Real Madrid
58,2022-10-19,21:00,La Liga,Matchweek 10,Wed,Away,,,,Elche,,,,,,,,Real Madrid
59,2022-10-22,21:00,La Liga,Matchweek 11,Sat,Home,,,,Sevilla,,,,,,,,Real Madrid
89,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Home,D,0.0,0.0,Rayo Vallecano,2.1,0.9,67.0,81104.0,Sergio Busquets,4-3-3,Alejandro Hernández,Barcelona
90,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Away,W,4.0,1.0,Real Sociedad,2.2,0.6,59.0,36201.0,Marc-André ter Stegen,3-4-3,José Luis Munuera,Barcelona
91,2022-08-28,19:30,La Liga,Matchweek 3,Sun,Home,W,4.0,0.0,Valladolid,2.9,0.6,68.0,83972.0,Sergio Busquets,4-3-3,Ricardo de Burgos,Barcelona
92,2022-09-03,21:00,La Liga,Matchweek 4,Sat,Away,W,3.0,0.0,Sevilla,3.2,1.1,54.0,40233.0,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Barcelona
94,2022-09-10,18:30,La Liga,Matchweek 5,Sat,Away,W,4.0,0.0,Cádiz,3.0,0.3,69.0,19530.0,Sergio Busquets,4-3-3,Carlos del Cerro,Barcelona
96,2022-09-17,16:15,La Liga,Matchweek 6,Sat,Home,W,3.0,0.0,Elche,4.1,0.0,77.0,85073.0,Marc-André ter Stegen,4-3-3,Alejandro Muñíz,Barcelona
97,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Away,W,1.0,0.0,Mallorca,0.5,0.9,71.0,18103.0,Sergio Busquets,4-3-3,Jesús Gil,Barcelona
99,2022-10-09,21:00,La Liga,Matchweek 8,Sun,Home,W,1.0,0.0,Celta Vigo,2.1,1.5,58.0,81525.0,Sergio Busquets,4-3-3,José Luis Munuera,Barcelona
101,2022-10-16,16:15,La Liga,Matchweek 9,Sun,Away,,,,Real Madrid,,,,,,,,Barcelona
102,2022-10-20,21:00,La Liga,Matchweek 10,Thu,Home,,,,Villarreal,,,,,,,,Barcelona
103,2022-10-23,21:00,La Liga,Matchweek 11,Sun,Home,,,,Athletic Club,,,,,,,,Barcelona
133,2022-08-15,17:30,La Liga,Matchweek 1,Mon,Home,D,0.0,0.0,Mallorca,1.6,0.4,64.0,39747.0,Iker Muniain,4-3-3,Javier Villanueva,Athletic Club
134,2022-08-21,17:30,La Liga,Matchweek 2,Sun,Home,W,1.0,0.0,Valencia,1.5,0.9,38.0,43333.0,Iker Muniain,4-2-3-1,César Soto,Athletic Club
135,2022-08-29,20:00,La Liga,Matchweek 3,Mon,Away,W,4.0,0.0,Cádiz,2.2,0.4,63.0,17029.0,Iker Muniain,4-2-3-1,Miguel Ángel Ortiz Arias,Athletic Club
136,2022-09-04,16:15,La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Espanyol,1.3,0.5,65.0,41574.0,Iker Muniain,4-2-3-1,Juan Martínez,Athletic Club
137,2022-09-11,16:15,La Liga,Matchweek 5,Sun,Away,W,4.0,1.0,Elche,2.2,0.9,53.0,24176.0,Iker Muniain,4-2-3-1,Mario Melero,Athletic Club
138,2022-09-17,21:00,La Liga,Matchweek 6,Sat,Home,W,3.0,2.0,Rayo Vallecano,2.6,1.0,39.0,43484.0,Iker Muniain,4-2-3-1,Antonio Matéu Lahoz,Athletic Club
139,2022-09-30,21:00,La Liga,Matchweek 7,Fri,Home,W,4.0,0.0,Almería,1.9,0.7,59.0,42110.0,Iker Muniain,4-2-3-1,Juan Pulido,Athletic Club
140,2022-10-08,18:30,La Liga,Matchweek 8,Sat,Away,D,1.0,1.0,Sevilla,1.6,1.3,54.0,36502.0,Iker Muniain,4-2-3-1,Jesús Gil,Athletic Club
141,2022-10-15,21:00,La Liga,Matchweek 9,Sat,Home,,,,Atlético Madrid,,,,,,,,Athletic Club
142,2022-10-18,20:00,La Liga,Matchweek 10,Tue,Away,,,,Getafe,,,,,,,,Athletic Club
143,2022-10-23,21:00,La Liga,Matchweek 11,Sun,Away,,,,Barcelona,,,,,,,,Athletic Club
171,2022-08-14,17:30,La Liga,Matchweek 1,Sun,Away,W,1.0,0.0,Cádiz,1.7,0.3,60.0,16570.0,Aritz Elustondo,4-4-2◆,Isidro Díaz de Mera,Real Sociedad
172,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Home,L,1.0,4.0,Barcelona,0.6,2.2,41.0,36201.0,Aritz Elustondo,4-4-2◆,José Luis Munuera,Real Sociedad
173,2022-08-27,17:30,La Liga,Matchweek 3,Sat,Away,W,1.0,0.0,Elche,1.7,0.8,54.0,22656.0,Mikel Merino,4-4-2◆,Javier Villanueva,Real Sociedad
174,2022-09-03,18:30,La Liga,Matchweek 4,Sat,Home,D,1.0,1.0,Atlético Madrid,1.0,1.2,55.0,35366.0,Mikel Merino,4-4-2◆,César Soto,Real Sociedad
176,2022-09-11,18:30,La Liga,Matchweek 5,Sun,Away,L,1.0,2.0,Getafe,1.0,1.1,65.0,11112.0,Mikel Merino,4-4-2◆,Juan Pulido,Real Sociedad
178,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Home,W,2.0,1.0,Espanyol,1.9,0.9,62.0,31511.0,Aritz Elustondo,4-4-2◆,Carlos del Cerro,Real Sociedad
179,2022-10-02,18:30,La Liga,Matchweek 7,Sun,Away,W,5.0,3.0,Girona,2.1,1.1,59.0,12217.0,Aritz Elustondo,4-4-2◆,Mario Melero,Real Sociedad
181,2022-10-09,18:30,La Liga,Matchweek 8,Sun,Home,W,1.0,0.0,Villarreal,1.8,0.4,59.0,32689.0,Aritz Elustondo,4-4-2◆,César Soto,Real Sociedad
183,2022-10-16,14:00,La Liga,Matchweek 9,Sun,Away,,,,Celta Vigo,,,,,,,,Real Sociedad
184,2022-10-19,20:00,La Liga,Matchweek 10,Wed,Home,,,,Mallorca,,,,,,,,Real Sociedad
185,2022-10-22,16:15,La Liga,Matchweek 11,Sat,Away,,,,Valladolid,,,,,,,,Real Sociedad
215,2022-08-14,19:30,La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Girona,1.7,0.1,46.0,39359.0,Carlos Soler,4-3-3,Jorge Figueroa,Valencia
216,2022-08-21,17:30,La Liga,Matchweek 2,Sun,Away,L,0.0,1.0,Athletic Club,0.9,1.5,62.0,43333.0,Carlos Soler,4-3-3,César Soto,Valencia
217,2022-08-29,22:00,La Liga,Matchweek 3,Mon,Home,L,0.0,1.0,Atlético Madrid,0.6,1.7,69.0,43910.0,Carlos Soler,4-2-3-1,Guillermo Cuadra,Valencia
218,2022-09-04,21:00,La Liga,Matchweek 4,Sun,Home,W,5.0,1.0,Getafe,1.9,0.5,69.0,38725.0,Toni Lato,4-3-3,José Luis Munuera,Valencia
219,2022-09-10,14:00,La Liga,Matchweek 5,Sat,Away,L,1.0,2.0,Rayo Vallecano,1.4,1.0,54.0,12085.0,José Luis Gayà,4-2-3-1,Jesús Gil,Valencia
220,2022-09-17,18:30,La Liga,Matchweek 6,Sat,Home,W,3.0,0.0,Celta Vigo,1.8,0.4,65.0,40965.0,José Luis Gayà,4-3-3,Pablo González,Valencia
221,2022-10-02,14:00,La Liga,Matchweek 7,Sun,Away,D,2.0,2.0,Espanyol,0.9,0.7,61.0,19766.0,José Luis Gayà,4-3-3,Valentín Pizarro,Valencia
222,2022-10-07,21:00,La Liga,Matchweek 8,Fri,Away,W,2.0,1.0,Osasuna,2.2,1.5,55.0,20260.0,José Luis Gayà,4-4-2,Miguel Ángel Ortiz Arias,Valencia
223,2022-10-15,16:15,La Liga,Matchweek 9,Sat,Home,,,,Elche,,,,,,,,Valencia
224,2022-10-18,19:00,La Liga,Matchweek 10,Tue,Away,,,,Sevilla,,,,,,,,Valencia
225,2022-10-22,18:30,La Liga,Matchweek 11,Sat,Home,,,,Mallorca,,,,,,,,Valencia
253,2022-08-15,21:30,La Liga,Matchweek 1,Mon,Home,W,3.0,0.0,Elche,3.0,0.4,71.0,50622.0,Nabil Fekir,4-2-3-1,Guillermo Cuadra,Real Betis
254,2022-08-20,19:30,La Liga,Matchweek 2,Sat,Away,W,2.0,1.0,Mallorca,2.2,1.0,52.0,15579.0,Nabil Fekir,4-2-3-1,Pablo González,Real Betis
255,2022-08-26,22:00,La Liga,Matchweek 3,Fri,Home,W,1.0,0.0,Osasuna,0.4,1.0,54.0,52580.0,Nabil Fekir,4-2-3-1,Juan Martínez,Real Betis
256,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Away,L,1.0,2.0,Real Madrid,0.5,2.6,51.0,58579.0,Andrés Guardado,4-2-3-1,José Sánchez,Real Betis
258,2022-09-11,21:00,La Liga,Matchweek 5,Sun,Home,W,1.0,0.0,Villarreal,1.2,2.0,46.0,53276.0,Sergio Canales,4-2-3-1,Ricardo de Burgos,Real Betis
260,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Home,W,2.0,1.0,Girona,1.6,1.2,44.0,52229.0,Sergio Canales,4-2-3-1,Miguel Ángel Ortiz Arias,Real Betis
261,2022-10-02,16:15,La Liga,Matchweek 7,Sun,Away,L,0.0,1.0,Celta Vigo,0.9,1.1,54.0,14344.0,Sergio Canales,4-2-3-1,César Soto,Real Betis
263,2022-10-09,14:00,La Liga,Matchweek 8,Sun,Away,D,0.0,0.0,Valladolid,0.3,0.6,41.0,22561.0,Sergio Canales,4-2-3-1,Carlos del Cerro,Real Betis
265,2022-10-16,21:00,La Liga,Matchweek 9,Sun,Home,,,,Almería,,,,,,,,Real Betis
266,2022-10-19,19:00,La Liga,Matchweek 10,Wed,Away,,,,Cádiz,,,,,,,,Real Betis
267,2022-10-23,16:15,La Liga,Matchweek 11,Sun,Home,,,,Atlético Madrid,,,,,,,,Real Betis
297,2022-08-12,21:00,La Liga,Matchweek 1,Fri,Home,W,2.0,1.0,Sevilla,1.3,0.8,36.0,18536.0,David García,4-4-2,Carlos del Cerro,Osasuna
298,2022-08-20,17:30,La Liga,Matchweek 2,Sat,Home,W,2.0,0.0,Cádiz,2.6,1.3,55.0,18587.0,Unai García,4-4-2,Antonio Matéu Lahoz,Osasuna
299,2022-08-26,22:00,La Liga,Matchweek 3,Fri,Away,L,0.0,1.0,Betis,1.0,0.4,46.0,52580.0,David García,4-4-1-1,Juan Martínez,Osasuna
300,2022-09-04,14:00,La Liga,Matchweek 4,Sun,Home,W,2.0,1.0,Rayo Vallecano,2.3,0.2,47.0,18745.0,Unai García,4-4-2,Alejandro Muñíz,Osasuna
301,2022-09-12,21:00,La Liga,Matchweek 5,Mon,Away,W,1.0,0.0,Almería,2.1,0.3,39.0,12397.0,David García,4-2-3-1,Javier Villanueva,Osasuna
302,2022-09-18,14:00,La Liga,Matchweek 6,Sun,Home,L,0.0,2.0,Getafe,0.9,1.4,54.0,18255.0,Unai García,4-2-3-1,Isidro Díaz de Mera,Osasuna
303,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Away,D,1.0,1.0,Real Madrid,0.5,2.6,36.0,55410.0,David García,4-3-3,Guillermo Cuadra,Osasuna
304,2022-10-07,21:00,La Liga,Matchweek 8,Fri,Home,L,1.0,2.0,Valencia,1.5,2.2,45.0,20260.0,Unai García,4-4-1-1,Miguel Ángel Ortiz Arias,Osasuna
305,2022-10-17,21:00,La Liga,Matchweek 9,Mon,Away,,,,Villarreal,,,,,,,,Osasuna
306,2022-10-20,20:00,La Liga,Matchweek 10,Thu,Home,,,,Espanyol,,,,,,,,Osasuna
307,2022-10-23,18:30,La Liga,Matchweek 11,Sun,Away,,,,Girona,,,,,,,,Osasuna
335,2022-08-13,19:00,La Liga,Matchweek 1,Sat,Away,W,3.0,0.0,Valladolid,1.4,0.9,49.0,17543.0,Raúl Albiol,4-4-2,Mario Melero,Villarreal
337,2022-08-21,19:30,La Liga,Matchweek 2,Sun,Away,W,2.0,0.0,Atlético Madrid,2.0,1.3,49.0,57033.0,Raúl Albiol,4-4-2,Ricardo de Burgos,Villarreal
339,2022-08-28,17:30,La Liga,Matchweek 3,Sun,Away,D,0.0,0.0,Getafe,0.8,0.3,64.0,9815.0,Raúl Albiol,4-4-2,Jorge Figueroa,Villarreal
340,2022-09-04,18:30,La Liga,Matchweek 4,Sun,Home,W,4.0,0.0,Elche,3.7,0.3,53.0,13915.0,Raúl Albiol,4-4-2,Miguel Ángel Ortiz Arias,Villarreal
342,2022-09-11,21:00,La Liga,Matchweek 5,Sun,Away,L,0.0,1.0,Betis,2.0,1.2,54.0,53276.0,Raúl Albiol,4-4-2,Ricardo de Burgos,Villarreal
344,2022-09-18,16:15,La Liga,Matchweek 6,Sun,Home,D,1.0,1.0,Sevilla,1.6,0.5,46.0,18292.0,Raúl Albiol,4-4-2,Alejandro Hernández,Villarreal
345,2022-10-01,14:00,La Liga,Matchweek 7,Sat,Away,D,0.0,0.0,Cádiz,1.4,0.7,59.0,15516.0,Raúl Albiol,4-4-2,Javier Villanueva,Villarreal
347,2022-10-09,18:30,La Liga,Matchweek 8,Sun,Away,L,0.0,1.0,Real Sociedad,0.4,1.8,41.0,32689.0,Raúl Albiol,4-4-2,César Soto,Villarreal
349,2022-10-17,21:00,La Liga,Matchweek 9,Mon,Home,,,,Osasuna,,,,,,,,Villarreal
350,2022-10-20,21:00,La Liga,Matchweek 10,Thu,Away,,,,Barcelona,,,,,,,,Villarreal
351,2022-10-23,18:30,La Liga,Matchweek 11,Sun,Home,,,,Almería,,,,,,,,Villarreal
381,2022-08-13,17:00,La Liga,Matchweek 1,Sat,Home,D,2.0,2.0,Espanyol,0.3,1.2,59.0,13859.0,Hugo Mallo,4-4-2◆,Miguel Ángel Ortiz Arias,Celta Vigo
382,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Home,L,1.0,4.0,Real Madrid,1.3,3.4,50.0,15681.0,Hugo Mallo,4-4-2◆,Jesús Gil,Celta Vigo
383,2022-08-26,20:00,La Liga,Matchweek 3,Fri,Away,W,1.0,0.0,Girona,0.7,0.8,47.0,11329.0,Hugo Mallo,4-4-2◆,Carlos del Cerro,Celta Vigo
384,2022-09-02,21:00,La Liga,Matchweek 4,Fri,Home,W,3.0,0.0,Cádiz,0.8,0.3,58.0,14510.0,Hugo Mallo,4-4-2◆,Juan Pulido,Celta Vigo
385,2022-09-10,21:00,La Liga,Matchweek 5,Sat,Away,L,1.0,4.0,Atlético Madrid,1.4,0.8,54.0,52247.0,Hugo Mallo,4-4-2◆,Alejandro Hernández,Celta Vigo
386,2022-09-17,18:30,La Liga,Matchweek 6,Sat,Away,L,0.0,3.0,Valencia,0.4,1.8,35.0,40965.0,Hugo Mallo,4-4-2◆,Pablo González,Celta Vigo
387,2022-10-02,16:15,La Liga,Matchweek 7,Sun,Home,W,1.0,0.0,Betis,1.1,0.9,46.0,14344.0,Hugo Mallo,4-4-2◆,César Soto,Celta Vigo
388,2022-10-09,21:00,La Liga,Matchweek 8,Sun,Away,L,0.0,1.0,Barcelona,1.5,2.1,42.0,81525.0,Hugo Mallo,4-4-2◆,José Luis Munuera,Celta Vigo
389,2022-10-16,14:00,La Liga,Matchweek 9,Sun,Home,,,,Real Sociedad,,,,,,,,Celta Vigo
390,2022-10-19,19:00,La Liga,Matchweek 10,Wed,Away,,,,Valladolid,,,,,,,,Celta Vigo
391,2022-10-24,21:00,La Liga,Matchweek 11,Mon,Home,,,,Getafe,,,,,,,,Celta Vigo
419,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Away,D,0.0,0.0,Barcelona,0.9,2.1,33.0,81104.0,Óscar Trejo,4-2-3-1,Alejandro Hernández,Rayo Vallecano
420,2022-08-19,20:00,La Liga,Matchweek 2,Fri,Away,W,2.0,0.0,Espanyol,1.6,1.0,46.0,16071.0,Óscar Trejo,4-2-3-1,Jorge Figueroa,Rayo Vallecano
421,2022-08-27,19:30,La Liga,Matchweek 3,Sat,Home,L,0.0,2.0,Mallorca,0.9,0.6,65.0,10944.0,Óscar Trejo,4-2-3-1,José Sánchez,Rayo Vallecano
422,2022-09-04,14:00,La Liga,Matchweek 4,Sun,Away,L,1.0,2.0,Osasuna,0.2,2.3,53.0,18745.0,Óscar Trejo,4-2-3-1,Alejandro Muñíz,Rayo Vallecano
423,2022-09-10,14:00,La Liga,Matchweek 5,Sat,Home,W,2.0,1.0,Valencia,1.0,1.4,46.0,12085.0,Óscar Trejo,4-2-3-1,Jesús Gil,Rayo Vallecano
424,2022-09-17,21:00,La Liga,Matchweek 6,Sat,Away,L,2.0,3.0,Athletic Club,1.0,2.6,61.0,43484.0,Óscar Trejo,4-2-3-1,Antonio Matéu Lahoz,Rayo Vallecano
425,2022-10-03,21:00,La Liga,Matchweek 7,Mon,Home,W,2.0,1.0,Elche,0.8,0.6,70.0,11662.0,Óscar Trejo,4-2-3-1,Jorge Figueroa,Rayo Vallecano
426,2022-10-08,14:00,La Liga,Matchweek 8,Sat,Away,L,1.0,3.0,Almería,0.9,1.3,63.0,10783.0,Óscar Trejo,4-2-3-1,Pablo González,Rayo Vallecano
427,2022-10-14,21:00,La Liga,Matchweek 9,Fri,Home,D,0.0,0.0,Getafe,,,65.0,13076.0,Óscar Trejo,3-4-3,Mario Melero,Rayo Vallecano
428,2022-10-18,21:00,La Liga,Matchweek 10,Tue,Away,,,,Atlético Madrid,,,,,,,,Rayo Vallecano
429,2022-10-22,14:00,La Liga,Matchweek 11,Sat,Home,,,,Cádiz,,,,,,,,Rayo Vallecano
457,2022-08-15,17:30,La Liga,Matchweek 1,Mon,Away,D,0.0,0.0,Athletic Club,0.4,1.6,36.0,39747.0,Antonio Raillo,3-4-3,Javier Villanueva,Mallorca
458,2022-08-20,19:30,La Liga,Matchweek 2,Sat,Home,L,1.0,2.0,Betis,1.0,2.2,48.0,15579.0,Antonio Raillo,3-5-2,Pablo González,Mallorca
459,2022-08-27,19:30,La Liga,Matchweek 3,Sat,Away,W,2.0,0.0,Rayo Vallecano,0.6,0.9,35.0,10944.0,Antonio Raillo,3-5-2,José Sánchez,Mallorca
460,2022-09-03,14:00,La Liga,Matchweek 4,Sat,Home,D,1.0,1.0,Girona,0.9,1.3,52.0,13390.0,Antonio Raillo,3-5-1-1,Isidro Díaz de Mera,Mallorca
461,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Away,L,1.0,4.0,Real Madrid,0.4,1.6,32.0,54816.0,Antonio Raillo,3-4-3,Jorge Figueroa,Mallorca
462,2022-09-17,14:00,La Liga,Matchweek 6,Sat,Home,W,1.0,0.0,Almería,0.6,0.4,44.0,12687.0,Antonio Raillo,3-5-1-1,Juan Martínez,Mallorca
463,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Home,L,0.0,1.0,Barcelona,0.9,0.5,29.0,18103.0,Antonio Raillo,3-4-3,Jesús Gil,Mallorca
464,2022-10-10,21:00,La Liga,Matchweek 8,Mon,Away,D,1.0,1.0,Elche,2.6,0.4,60.0,12000.0,Antonio Raillo,3-4-3,Valentín Pizarro,Mallorca
465,2022-10-15,18:30,La Liga,Matchweek 9,Sat,Home,,,,Sevilla,,,,,,,,Mallorca
466,2022-10-19,20:00,La Liga,Matchweek 10,Wed,Away,,,,Real Sociedad,,,,,,,,Mallorca
467,2022-10-22,18:30,La Liga,Matchweek 11,Sat,Away,,,,Valencia,,,,,,,,Mallorca
495,2022-08-14,19:30,La Liga,Matchweek 1,Sun,Away,L,0.0,1.0,Valencia,0.1,1.7,54.0,39359.0,Juanpe,3-4-3,Jorge Figueroa,Girona
496,2022-08-22,22:00,La Liga,Matchweek 2,Mon,Home,W,3.0,1.0,Getafe,1.1,0.7,66.0,10460.0,Cristhian Stuani,3-5-2,Alejandro Muñíz,Girona
497,2022-08-26,20:00,La Liga,Matchweek 3,Fri,Home,L,0.0,1.0,Celta Vigo,0.8,0.7,53.0,11329.0,Cristhian Stuani,4-4-2,Carlos del Cerro,Girona
498,2022-09-03,14:00,La Liga,Matchweek 4,Sat,Away,D,1.0,1.0,Mallorca,1.3,0.9,48.0,13390.0,Juanpe,3-4-3,Isidro Díaz de Mera,Girona
499,2022-09-09,21:00,La Liga,Matchweek 5,Fri,Home,W,2.0,1.0,Valladolid,1.9,0.8,45.0,10053.0,Juanpe,3-4-3,César Soto,Girona
500,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Away,L,1.0,2.0,Betis,1.2,1.6,56.0,52229.0,Juanpe,3-4-3,Miguel Ángel Ortiz Arias,Girona
501,2022-10-02,18:30,La Liga,Matchweek 7,Sun,Home,L,3.0,5.0,Real Sociedad,1.1,2.1,41.0,12217.0,Juanpe,3-5-2,Mario Melero,Girona
502,2022-10-08,16:15,La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Atlético Madrid,0.5,1.5,55.0,54069.0,Bernardo Espinosa,3-5-2,Juan Martínez,Girona
503,2022-10-15,14:00,La Liga,Matchweek 9,Sat,Home,,,,Cádiz,,,,,,,,Girona
504,2022-10-20,19:00,La Liga,Matchweek 10,Thu,Away,,,,Almería,,,,,,,,Girona
505,2022-10-23,18:30,La Liga,Matchweek 11,Sun,Home,,,,Osasuna,,,,,,,,Girona
533,2022-08-15,19:30,La Liga,Matchweek 1,Mon,Home,L,0.0,3.0,Atlético Madrid,0.6,1.2,42.0,12235.0,Djené,3-5-2,José Sánchez,Getafe
534,2022-08-22,22:00,La Liga,Matchweek 2,Mon,Away,L,1.0,3.0,Girona,0.7,1.1,34.0,10460.0,Djené,3-5-2,Alejandro Muñíz,Getafe
535,2022-08-28,17:30,La Liga,Matchweek 3,Sun,Home,D,0.0,0.0,Villarreal,0.3,0.8,36.0,9815.0,Djené,4-4-2,Jorge Figueroa,Getafe
536,2022-09-04,21:00,La Liga,Matchweek 4,Sun,Away,L,1.0,5.0,Valencia,0.5,1.9,31.0,38725.0,Djené,4-4-2,José Luis Munuera,Getafe
537,2022-09-11,18:30,La Liga,Matchweek 5,Sun,Home,W,2.0,1.0,Real Sociedad,1.1,1.0,35.0,11112.0,Damián Suárez,3-5-2,Juan Pulido,Getafe
538,2022-09-18,14:00,La Liga,Matchweek 6,Sun,Away,W,2.0,0.0,Osasuna,1.4,0.9,46.0,18255.0,Damián Suárez,3-5-2,Isidro Díaz de Mera,Getafe
539,2022-10-01,16:15,La Liga,Matchweek 7,Sat,Home,L,2.0,3.0,Valladolid,2.5,1.5,45.0,10958.0,Djené,3-5-2,Alejandro Muñíz,Getafe
540,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Home,L,0.0,1.0,Real Madrid,0.3,1.2,35.0,14502.0,Djené,3-5-2,Antonio Matéu Lahoz,Getafe
541,2022-10-14,21:00,La Liga,Matchweek 9,Fri,Away,D,0.0,0.0,Rayo Vallecano,,,35.0,13076.0,Djené,5-3-2,Mario Melero,Getafe
542,2022-10-18,20:00,La Liga,Matchweek 10,Tue,Home,,,,Athletic Club,,,,,,,,Getafe
543,2022-10-24,21:00,La Liga,Matchweek 11,Mon,Away,,,,Celta Vigo,,,,,,,,Getafe
571,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Home,L,1.0,2.0,Real Madrid,0.6,2.4,33.0,14386.0,Srđan Babić,3-5-2,Juan Martínez,Almeria
572,2022-08-22,20:00,La Liga,Matchweek 2,Mon,Away,D,1.0,1.0,Elche,0.9,1.1,46.0,23361.0,Srđan Babić,3-4-1-2,Isidro Díaz de Mera,Almeria
573,2022-08-27,22:00,La Liga,Matchweek 3,Sat,Home,W,2.0,1.0,Sevilla,2.1,1.1,33.0,13788.0,Srđan Babić,3-4-1-2,Jesús Gil,Almeria
574,2022-09-05,21:00,La Liga,Matchweek 4,Mon,Away,L,0.0,1.0,Valladolid,0.6,1.3,48.0,20260.0,César de la Hoz,4-2-3-1,Pablo González,Almeria
575,2022-09-12,21:00,La Liga,Matchweek 5,Mon,Home,L,0.0,1.0,Osasuna,0.3,2.1,61.0,12397.0,Srđan Babić,4-3-3,Javier Villanueva,Almeria
576,2022-09-17,14:00,La Liga,Matchweek 6,Sat,Away,L,0.0,1.0,Mallorca,0.4,0.6,56.0,12687.0,Srđan Babić,3-5-2,Juan Martínez,Almeria
577,2022-09-30,21:00,La Liga,Matchweek 7,Fri,Away,L,0.0,4.0,Athletic Club,0.7,1.9,41.0,42110.0,Srđan Babić,3-4-3,Juan Pulido,Almeria
