,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
1751,2020-12-05,14:00,La Liga,Matchweek 12,Sat,Home,W,3,0,Getafe,3.0,13.0,8.0,61.5,0.23,0.38,12.7,0.0,0.0,0.0,2.3,2.3,0.19,0.7,0.7,Levante
1752,2020-12-13,21:00,La Liga,Matchweek 13,Sun,Away,L,0,1,Barcelona,0.0,6.0,3.0,50.0,0.0,0.0,18.8,0.0,0.0,0.0,0.9,0.9,0.16,-0.9,-0.9,Levante
1754,2020-12-19,18:30,La Liga,Matchweek 14,Sat,Home,W,2,1,Real Sociedad,2.0,14.0,5.0,35.7,0.14,0.4,16.4,0.0,0.0,0.0,1.3,1.3,0.1,0.7,0.7,Levante
1755,2020-12-22,19:45,La Liga,Matchweek 15,Tue,Away,D,1,1,Huesca,1.0,9.0,1.0,11.1,0.11,1.0,18.1,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,Levante
1756,2020-12-29,21:30,La Liga,Matchweek 16,Tue,Home,W,4,3,Betis,4.0,10.0,5.0,50.0,0.4,0.8,11.5,0.0,0.0,0.0,1.2,1.2,0.12,2.8,2.8,Levante
1757,2021-01-02,14:00,La Liga,Matchweek 17,Sat,Away,L,1,2,Villarreal,1.0,9.0,2.0,22.2,0.11,0.5,18.5,1.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,Levante
1759,2021-01-10,14:00,La Liga,Matchweek 18,Sun,Home,W,2,1,Eibar,2.0,5.0,2.0,40.0,0.4,1.0,16.6,0.0,0.0,0.0,1.2,1.2,0.25,0.8,0.8,Levante
1761,2021-01-19,19:00,La Liga,Matchweek 19,Tue,Away,D,2,2,Cádiz,2.0,8.0,5.0,62.5,0.25,0.4,14.9,1.0,0.0,0.0,1.5,1.5,0.19,0.5,0.5,Levante
1762,2021-01-22,21:00,La Liga,Matchweek 20,Fri,Home,D,2,2,Valladolid,2.0,11.0,3.0,27.3,0.18,0.67,12.9,0.0,0.0,0.0,1.0,1.0,0.09,1.0,1.0,Levante
1764,2021-01-30,16:15,La Liga,Matchweek 21,Sat,Away,W,2,1,Real Madrid,2.0,13.0,7.0,53.8,0.15,0.29,17.9,1.0,0.0,1.0,1.9,1.1,0.08,0.1,0.9,Levante
1766,2021-02-06,14:00,La Liga,Matchweek 22,Sat,Home,D,2,2,Granada,2.0,11.0,7.0,63.6,0.18,0.29,13.3,0.0,0.0,0.0,1.9,1.9,0.17,0.1,0.1,Levante
1768,2021-02-14,18:30,La Liga,Matchweek 23,Sun,Home,L,0,1,Osasuna,0.0,11.0,3.0,27.3,0.0,0.0,16.7,0.0,0.0,1.0,2.1,1.3,0.12,-2.1,-1.3,Levante
1769,2021-02-17,19:00,La Liga,Matchweek 2,Wed,Home,D,1,1,Atlético Madrid,1.0,7.0,4.0,57.1,0.14,0.25,23.6,0.0,0.0,0.0,0.5,0.5,0.07,0.5,0.5,Levante
1770,2021-02-20,16:15,La Liga,Matchweek 24,Sat,Away,W,2,0,Atlético Madrid,1.0,6.0,1.0,16.7,0.17,1.0,23.5,0.0,0.0,0.0,0.9,0.9,0.15,0.1,0.1,Levante
1771,2021-02-26,21:00,La Liga,Matchweek 25,Fri,Home,D,1,1,Athletic Club,1.0,9.0,3.0,33.3,0.0,0.0,22.4,1.0,1.0,1.0,1.0,0.3,0.03,0.0,-0.3,Levante
1773,2021-03-07,18:30,La Liga,Matchweek 26,Sun,Away,L,0,1,Real Sociedad,0.0,6.0,1.0,16.7,0.0,0.0,19.2,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Levante
1774,2021-03-12,21:00,La Liga,Matchweek 27,Fri,Home,W,1,0,Valencia,1.0,11.0,3.0,27.3,0.09,0.33,16.7,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1,Levante
1775,2021-03-19,21:00,La Liga,Matchweek 28,Fri,Away,L,0,2,Betis,0.0,7.0,1.0,14.3,0.0,0.0,22.2,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,Levante
1776,2021-04-02,21:00,La Liga,Matchweek 29,Fri,Home,L,0,2,Huesca,0.0,13.0,3.0,23.1,0.0,0.0,19.6,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,Levante
1777,2021-04-10,18:30,La Liga,Matchweek 30,Sat,Away,W,1,0,Eibar,1.0,6.0,1.0,16.7,0.17,1.0,20.1,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6,Levante
1778,2021-04-18,21:00,La Liga,Matchweek 33,Sun,Home,L,1,5,Villarreal,1.0,12.0,3.0,25.0,0.08,0.33,16.3,1.0,0.0,0.0,1.4,1.4,0.13,-0.4,-0.4,Levante
1779,2021-04-21,19:00,La Liga,Matchweek 31,Wed,Home,L,0,1,Sevilla,0.0,6.0,0.0,0.0,0.0,,19.0,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,Levante
1780,2021-04-24,14:00,La Liga,Matchweek 32,Sat,Away,L,0,1,Elche,0.0,7.0,1.0,14.3,0.0,0.0,18.4,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Levante
1781,2021-04-30,21:00,La Liga,Matchweek 34,Fri,Away,L,0,2,Celta Vigo,0.0,10.0,2.0,20.0,0.0,0.0,17.3,0.0,0.0,0.0,1.2,1.2,0.12,-1.2,-1.2,Levante
1782,2021-05-08,14:00,La Liga,Matchweek 35,Sat,Away,D,2,2,Alavés,2.0,6.0,3.0,50.0,0.33,0.67,15.1,1.0,0.0,0.0,0.9,0.9,0.16,1.1,1.1,Levante
1783,2021-05-11,22:00,La Liga,Matchweek 36,Tue,Home,D,3,3,Barcelona,3.0,16.0,6.0,37.5,0.19,0.5,17.5,0.0,0.0,0.0,0.9,0.9,0.06,2.1,2.1,Levante
1784,2021-05-16,18:30,La Liga,Matchweek 37,Sun,Away,L,1,2,Getafe,1.0,4.0,1.0,25.0,0.25,1.0,18.5,0.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8,Levante
1785,2021-05-21,21:00,La Liga,Matchweek 38,Fri,Home,D,2,2,Cádiz,2.0,17.0,4.0,23.5,0.12,0.5,15.4,0.0,0.0,0.0,1.5,1.5,0.09,0.5,0.5,Levante
1786,2020-09-19,18:30,La Liga,Matchweek 2,Sat,Home,W,1,0,Osasuna,1.0,6.0,1.0,16.7,0.17,1.0,17.8,0.0,0.0,0.0,0.4,0.4,0.08,0.6,0.6,Getafe
1787,2020-09-26,13:00,La Liga,Matchweek 3,Sat,Away,D,0,0,Alavés,0.0,11.0,4.0,36.4,0.0,0.0,16.2,1.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,Getafe
1788,2020-09-29,21:30,La Liga,Matchweek 4,Tue,Home,W,3,0,Betis,3.0,8.0,4.0,50.0,0.38,0.75,21.4,0.0,0.0,0.0,0.7,0.7,0.09,2.3,2.3,Getafe
1789,2020-10-03,18:30,La Liga,Matchweek 5,Sat,Away,L,0,3,Real Sociedad,0.0,5.0,1.0,20.0,0.0,0.0,25.3,2.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4,Getafe
1790,2020-10-17,21:00,La Liga,Matchweek 6,Sat,Home,W,1,0,Barcelona,1.0,8.0,3.0,37.5,0.0,0.0,19.8,1.0,1.0,1.0,1.7,0.9,0.12,-0.7,-0.9,Getafe
1791,2020-10-25,18:30,La Liga,Matchweek 7,Sun,Home,L,0,1,Granada,0.0,10.0,1.0,10.0,0.0,0.0,16.8,1.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,Getafe
1792,2020-11-01,21:00,La Liga,Matchweek 8,Sun,Away,D,2,2,Valencia,2.0,15.0,5.0,33.3,0.13,0.4,15.0,0.0,0.0,0.0,2.1,2.1,0.15,-0.1,-0.1,Getafe
1793,2020-11-08,14:00,La Liga,Matchweek 9,Sun,Home,L,1,3,Villarreal,1.0,13.0,4.0,30.8,0.08,0.25,19.3,2.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3,Getafe
1794,2020-11-22,14:00,La Liga,Matchweek 10,Sun,Away,D,0,0,Eibar,0.0,8.0,4.0,50.0,0.0,0.0,16.7,0.0,0.0,0.0,0.8,0.8,0.1,-0.8,-0.8,Getafe
1795,2020-11-29,16:15,La Liga,Matchweek 11,Sun,Home,D,1,1,Athletic Club,1.0,11.0,3.0,27.3,0.09,0.33,21.7,1.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,Getafe
1796,2020-12-05,14:00,La Liga,Matchweek 12,Sat,Away,L,0,3,Levante,0.0,9.0,0.0,0.0,0.0,,16.3,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Getafe
1797,2020-12-12,16:15,La Liga,Matchweek 13,Sat,Home,L,0,1,Sevilla,0.0,8.0,1.0,12.5,0.0,0.0,17.8,1.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Getafe
1799,2020-12-20,18:30,La Liga,Matchweek 14,Sun,Away,W,2,0,Cádiz,2.0,6.0,4.0,66.7,0.33,0.5,18.5,0.0,0.0,0.0,1.2,1.2,0.2,0.8,0.8,Getafe
1800,2020-12-23,17:30,La Liga,Matchweek 15,Wed,Home,D,1,1,Celta Vigo,1.0,6.0,3.0,50.0,0.17,0.33,19.7,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,Getafe
1801,2020-12-30,19:15,La Liga,Matchweek 16,Wed,Away,L,0,1,Atlético Madrid,0.0,10.0,2.0,20.0,0.0,0.0,19.6,1.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9,Getafe
1802,2021-01-02,18:30,La Liga,Matchweek 17,Sat,Home,L,0,1,Valladolid,0.0,11.0,4.0,36.4,0.0,0.0,20.8,2.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Getafe
1804,2021-01-11,19:00,La Liga,Matchweek 18,Mon,Away,W,3,1,Elche,3.0,13.0,6.0,46.2,0.15,0.33,15.2,0.0,1.0,1.0,2.6,1.9,0.15,0.4,0.1,Getafe
1805,2021-01-20,19:00,La Liga,Matchweek 19,Wed,Home,W,1,0,Huesca,1.0,12.0,5.0,41.7,0.08,0.2,18.3,2.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,Getafe
1806,2021-01-25,21:00,La Liga,Matchweek 20,Mon,Away,L,1,5,Athletic Club,1.0,5.0,1.0,20.0,0.2,1.0,24.0,0.0,0.0,1.0,1.1,0.3,0.07,-0.1,0.7,Getafe
1807,2021-01-31,14:00,La Liga,Matchweek 21,Sun,Home,D,0,0,Alavés,0.0,6.0,0.0,0.0,0.0,,16.7,1.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Getafe
1808,2021-02-06,21:00,La Liga,Matchweek 22,Sat,Away,L,0,3,Sevilla,0.0,5.0,1.0,20.0,0.0,0.0,21.8,1.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Getafe
1809,2021-02-09,21:00,La Liga,Matchweek 1,Tue,Away,L,0,2,Real Madrid,0.0,1.0,0.0,0.0,0.0,,11.0,0.0,0.0,0.0,0.1,0.1,0.11,-0.1,-0.1,Getafe
1810,2021-02-14,14:00,La Liga,Matchweek 23,Sun,Home,L,0,1,Real Sociedad,0.0,4.0,0.0,0.0,0.0,,12.2,1.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Getafe
1811,2021-02-19,21:00,La Liga,Matchweek 24,Fri,Away,L,0,1,Betis,0.0,6.0,1.0,16.7,0.0,0.0,15.3,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Getafe
1812,2021-02-27,21:00,La Liga,Matchweek 25,Sat,Home,W,3,0,Valencia,3.0,13.0,4.0,30.8,0.23,0.75,14.9,1.0,0.0,0.0,1.3,1.3,0.1,1.7,1.7,Getafe
1813,2021-03-06,14:00,La Liga,Matchweek 26,Sat,Away,L,1,2,Valladolid,1.0,9.0,2.0,22.2,0.11,0.5,17.7,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,Getafe
1814,2021-03-13,21:00,La Liga,Matchweek 27,Sat,Home,D,0,0,Atlético Madrid,0.0,9.0,2.0,22.2,0.0,0.0,19.6,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,Getafe
1815,2021-03-21,14:00,La Liga,Matchweek 28,Sun,Home,D,1,1,Elche,1.0,11.0,4.0,36.4,0.09,0.25,19.8,2.0,0.0,1.0,1.6,0.9,0.08,-0.6,0.1,Getafe
1816,2021-04-03,18:30,La Liga,Matchweek 29,Sat,Away,D,0,0,Osasuna,0.0,6.0,2.0,33.3,0.0,0.0,22.7,1.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,Getafe
1817,2021-04-10,14:00,La Liga,Matchweek 30,Sat,Home,L,0,1,Cádiz,0.0,22.0,3.0,13.6,0.0,0.0,15.6,1.0,0.0,0.0,2.5,2.5,0.12,-2.5,-2.5,Getafe
1818,2021-04-18,21:00,La Liga,Matchweek 33,Sun,Home,D,0,0,Real Madrid,0.0,18.0,6.0,33.3,0.0,0.0,18.7,1.0,0.0,0.0,1.5,1.5,0.09,-1.5,-1.5,Getafe
1819,2021-04-22,22:00,La Liga,Matchweek 31,Thu,Away,L,2,5,Barcelona,1.0,4.0,0.0,0.0,0.0,,10.6,0.0,1.0,1.0,1.3,0.5,0.13,-0.3,-0.5,Getafe
1820,2021-04-25,14:00,La Liga,Matchweek 32,Sun,Away,W,2,0,Huesca,2.0,6.0,4.0,66.7,0.33,0.5,11.8,0.0,0.0,0.0,1.2,1.2,0.2,0.8,0.8,Getafe
1821,2021-05-02,16:15,La Liga,Matchweek 34,Sun,Away,L,0,1,Villarreal,0.0,15.0,3.0,20.0,0.0,0.0,24.4,1.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,Getafe
1822,2021-05-09,14:00,La Liga,Matchweek 35,Sun,Home,L,0,1,Eibar,0.0,10.0,3.0,30.0,0.0,0.0,19.5,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Getafe
1823,2021-05-12,20:00,La Liga,Matchweek 36,Wed,Away,L,0,1,Celta Vigo,0.0,13.0,4.0,30.8,0.0,0.0,17.0,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3,Getafe
1824,2021-05-16,18:30,La Liga,Matchweek 37,Sun,Home,W,2,1,Levante,2.0,9.0,4.0,44.4,0.22,0.5,14.9,0.0,0.0,0.0,0.5,0.5,0.06,1.5,1.5,Getafe
1825,2021-05-23,18:30,La Liga,Matchweek 38,Sun,Away,D,0,0,Granada,0.0,11.0,2.0,18.2,0.0,0.0,19.7,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,Getafe
1826,2020-09-26,18:30,La Liga,Matchweek 3,Sat,Home,L,0,3,Real Sociedad,0.0,5.0,2.0,40.0,0.0,0.0,19.7,0.0,0.0,0.0,1.3,1.3,0.26,-1.3,-1.3,Elche
1827,2020-09-30,21:30,La Liga,Matchweek 4,Wed,Away,W,1,0,Eibar,1.0,5.0,2.0,40.0,0.2,0.5,13.7,0.0,0.0,0.0,0.7,0.7,0.13,0.3,0.3,Elche
1828,2020-10-03,18:30,La Liga,Matchweek 5,Sat,Home,D,0,0,Huesca,0.0,2.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,0.3,0.3,0.16,-0.3,-0.3,Elche
1829,2020-10-18,18:30,La Liga,Matchweek 6,Sun,Away,W,2,0,Alavés,2.0,7.0,3.0,42.9,0.29,0.67,15.2,0.0,0.0,0.0,1.2,1.2,0.18,0.8,0.8,Elche
1830,2020-10-23,21:00,La Liga,Matchweek 7,Fri,Home,W,2,1,Valencia,2.0,3.0,2.0,66.7,0.67,1.0,17.3,0.0,0.0,0.0,0.1,0.1,0.05,1.9,1.9,Elche
1831,2020-11-01,14:00,La Liga,Matchweek 8,Sun,Away,L,1,3,Betis,1.0,4.0,2.0,50.0,0.25,0.5,18.8,0.0,0.0,0.0,0.5,0.5,0.11,0.5,0.5,Elche
1832,2020-11-06,21:00,La Liga,Matchweek 9,Fri,Home,D,1,1,Celta Vigo,1.0,7.0,0.0,0.0,0.0,,13.1,0.0,1.0,1.0,1.4,0.7,0.1,-0.4,-0.7,Elche
1833,2020-11-21,14:00,La Liga,Matchweek 10,Sat,Away,D,1,1,Levante,1.0,11.0,5.0,45.5,0.09,0.2,16.8,1.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,Elche
1834,2020-11-28,14:00,La Liga,Matchweek 11,Sat,Home,D,1,1,Cádiz,1.0,4.0,3.0,75.0,0.25,0.33,21.2,1.0,0.0,0.0,0.2,0.2,0.06,0.8,0.8,Elche
1835,2020-12-06,18:30,La Liga,Matchweek 12,Sun,Away,D,0,0,Villarreal,0.0,4.0,0.0,0.0,0.0,,24.0,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,Elche
1836,2020-12-13,18:30,La Liga,Matchweek 13,Sun,Home,L,0,1,Granada,0.0,9.0,1.0,11.1,0.0,0.0,13.1,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Elche
1838,2020-12-19,14:00,La Liga,Matchweek 14,Sat,Away,L,1,3,Atlético Madrid,1.0,8.0,3.0,37.5,0.13,0.33,16.1,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,Elche
1839,2020-12-22,17:30,La Liga,Matchweek 15,Tue,Home,D,2,2,Osasuna,2.0,7.0,2.0,28.6,0.29,1.0,11.3,0.0,0.0,0.0,1.5,1.5,0.21,0.5,0.5,Elche
1840,2020-12-30,21:30,La Liga,Matchweek 16,Wed,Home,D,1,1,Real Madrid,1.0,5.0,2.0,40.0,0.0,0.0,23.2,1.0,1.0,1.0,1.0,0.2,0.04,0.0,-0.2,Elche
1841,2021-01-03,14:00,La Liga,Matchweek 17,Sun,Away,L,0,1,Athletic Club,0.0,5.0,1.0,20.0,0.0,0.0,18.1,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,Elche
1843,2021-01-11,19:00,La Liga,Matchweek 18,Mon,Home,L,1,3,Getafe,1.0,7.0,4.0,57.1,0.14,0.25,16.1,1.0,0.0,0.0,1.2,1.2,0.17,-0.2,-0.2,Elche
1845,2021-01-19,19:00,La Liga,Matchweek 19,Tue,Away,D,2,2,Valladolid,2.0,9.0,3.0,33.3,0.22,0.67,22.9,1.0,0.0,0.0,0.7,0.7,0.08,1.3,1.3,Elche
1846,2021-01-24,16:15,La Liga,Matchweek 20,Sun,Home,L,0,2,Barcelona,0.0,4.0,2.0,50.0,0.0,0.0,15.4,0.0,0.0,0.0,0.8,0.8,0.19,-0.8,-0.8,Elche
1847,2021-01-30,18:30,La Liga,Matchweek 21,Sat,Away,L,0,1,Valencia,0.0,10.0,1.0,10.0,0.0,0.0,20.2,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,Elche
1848,2021-02-06,18:30,La Liga,Matchweek 22,Sat,Home,D,2,2,Villarreal,2.0,8.0,2.0,25.0,0.25,1.0,14.8,1.0,0.0,0.0,1.2,1.2,0.15,0.8,0.8,Elche
1849,2021-02-12,21:00,La Liga,Matchweek 23,Fri,Away,L,1,3,Celta Vigo,1.0,8.0,2.0,25.0,0.13,0.5,16.1,0.0,0.0,0.0,1.1,1.1,0.14,-0.1,-0.1,Elche
1850,2021-02-20,14:00,La Liga,Matchweek 24,Sat,Home,W,1,0,Eibar,1.0,6.0,2.0,33.3,0.17,0.5,14.8,0.0,0.0,0.0,0.5,0.5,0.08,0.5,0.5,Elche
1851,2021-02-24,19:00,La Liga,Matchweek 1,Wed,Away,L,0,3,Barcelona,0.0,6.0,1.0,16.7,0.0,0.0,15.2,0.0,0.0,0.0,0.6,0.6,0.1,-0.6,-0.6,Elche
1852,2021-02-28,18:30,La Liga,Matchweek 25,Sun,Away,L,1,2,Granada,1.0,12.0,4.0,33.3,0.08,0.25,14.4,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,Elche
1853,2021-03-06,16:15,La Liga,Matchweek 26,Sat,Home,W,2,1,Sevilla,2.0,6.0,3.0,50.0,0.33,0.67,14.8,0.0,0.0,0.0,0.6,0.6,0.1,1.4,1.4,Elche
1854,2021-03-13,16:15,La Liga,Matchweek 27,Sat,Away,L,1,2,Real Madrid,1.0,3.0,2.0,66.7,0.33,0.5,10.4,0.0,0.0,0.0,0.5,0.5,0.16,0.5,0.5,Elche
1855,2021-03-17,19:00,La Liga,Matchweek 2,Wed,Away,L,0,2,Sevilla,0.0,11.0,5.0,45.5,0.0,0.0,20.6,1.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Elche
1856,2021-03-21,14:00,La Liga,Matchweek 28,Sun,Away,D,1,1,Getafe,1.0,6.0,2.0,33.3,0.17,0.5,10.3,0.0,0.0,0.0,1.5,1.5,0.25,-0.5,-0.5,Elche
1857,2021-04-04,16:15,La Liga,Matchweek 29,Sun,Home,D,1,1,Betis,1.0,7.0,3.0,42.9,0.14,0.33,12.3,0.0,0.0,0.0,0.8,0.8,0.12,0.2,0.2,Elche
1858,2021-04-09,21:00,La Liga,Matchweek 30,Fri,Away,L,1,3,Huesca,0.0,8.0,2.0,25.0,0.0,0.0,18.9,1.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6,Elche
1859,2021-04-18,14:00,La Liga,Matchweek 33,Sun,Away,L,0,2,Osasuna,0.0,8.0,2.0,25.0,0.0,0.0,19.6,1.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,Elche
1860,2021-04-21,21:00,La Liga,Matchweek 31,Wed,Home,D,1,1,Valladolid,1.0,9.0,4.0,44.4,0.11,0.25,15.6,1.0,0.0,0.0,1.2,1.2,0.13,-0.2,-0.2,Elche
1861,2021-04-24,14:00,La Liga,Matchweek 32,Sat,Home,W,1,0,Levante,1.0,8.0,3.0,37.5,0.13,0.33,16.1,1.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4,Elche
1862,2021-05-01,16:15,La Liga,Matchweek 34,Sat,Home,L,0,1,Atlético Madrid,0.0,4.0,1.0,25.0,0.0,0.0,15.7,0.0,0.0,1.0,1.0,0.2,0.05,-1.0,-0.2,Elche
1863,2021-05-07,21:00,La Liga,Matchweek 35,Fri,Away,L,0,2,Real Sociedad,0.0,1.0,0.0,0.0,0.0,,7.2,0.0,0.0,0.0,0.1,0.1,0.14,-0.1,-0.1,Elche
1864,2021-05-11,20:00,La Liga,Matchweek 36,Tue,Home,L,0,2,Alavés,0.0,11.0,3.0,27.3,0.0,0.0,11.9,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Elche
1865,2021-05-16,18:30,La Liga,Matchweek 37,Sun,Away,W,3,1,Cádiz,3.0,20.0,5.0,25.0,0.15,0.6,14.0,1.0,0.0,0.0,2.3,2.3,0.12,0.7,0.7,Elche
1866,2021-05-22,18:00,La Liga,Matchweek 38,Sat,Home,W,2,0,Athletic Club,2.0,8.0,3.0,37.5,0.25,0.67,14.8,0.0,0.0,0.0,1.2,1.2,0.15,0.8,0.8,Elche
1867,2020-09-13,18:30,La Liga,Matchweek 1,Sun,Away,D,1,1,Villarreal,1.0,11.0,3.0,27.3,0.09,0.33,16.6,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,Huesca
1868,2020-09-20,16:00,La Liga,Matchweek 2,Sun,Home,L,0,2,Cádiz,0.0,4.0,0.0,0.0,0.0,,17.2,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,Huesca
1869,2020-09-26,16:00,La Liga,Matchweek 3,Sat,Away,D,1,1,Valencia,1.0,17.0,5.0,29.4,0.06,0.2,18.8,1.0,0.0,0.0,1.5,1.5,0.09,-0.5,-0.5,Huesca
1870,2020-09-30,19:00,La Liga,Matchweek 4,Wed,Home,D,0,0,Atlético Madrid,0.0,9.0,3.0,33.3,0.0,0.0,14.8,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,Huesca
1871,2020-10-03,18:30,La Liga,Matchweek 5,Sat,Away,D,0,0,Elche,0.0,18.0,4.0,22.2,0.0,0.0,17.0,0.0,0.0,0.0,2.1,2.1,0.11,-2.1,-2.1,Huesca
1872,2020-10-18,18:30,La Liga,Matchweek 6,Sun,Home,D,2,2,Valladolid,2.0,12.0,7.0,58.3,0.17,0.29,14.2,0.0,0.0,0.0,1.0,1.0,0.08,1.0,1.0,Huesca
1873,2020-10-25,21:00,La Liga,Matchweek 7,Sun,Away,L,1,4,Real Sociedad,1.0,7.0,4.0,57.1,0.14,0.25,21.8,0.0,0.0,0.0,0.5,0.5,0.07,0.5,0.5,Huesca
1874,2020-10-31,14:00,La Liga,Matchweek 8,Sat,Away,L,1,4,Real Madrid,1.0,9.0,2.0,22.2,0.11,0.5,25.7,0.0,0.0,0.0,1.1,1.1,0.12,-0.1,-0.1,Huesca
1875,2020-11-07,14:00,La Liga,Matchweek 9,Sat,Home,D,1,1,Eibar,1.0,15.0,5.0,33.3,0.07,0.2,12.7,1.0,0.0,0.0,1.6,1.6,0.11,-0.6,-0.6,Huesca
1876,2020-11-20,21:00,La Liga,Matchweek 10,Fri,Away,D,1,1,Osasuna,1.0,6.0,5.0,83.3,0.17,0.2,15.6,0.0,0.0,0.0,1.0,1.0,0.18,0.0,0.0,Huesca
1877,2020-11-28,18:30,La Liga,Matchweek 11,Sat,Home,L,0,1,Sevilla,0.0,5.0,1.0,20.0,0.0,0.0,22.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Huesca
1878,2020-12-06,14:00,La Liga,Matchweek 12,Sun,Away,D,3,3,Granada,3.0,16.0,7.0,43.8,0.19,0.43,16.4,0.0,0.0,0.0,1.5,1.5,0.09,1.5,1.5,Huesca
1879,2020-12-12,18:30,La Liga,Matchweek 13,Sat,Home,W,1,0,Alavés,1.0,11.0,3.0,27.3,0.09,0.33,18.7,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,Huesca
1881,2020-12-18,21:00,La Liga,Matchweek 14,Fri,Away,L,0,2,Athletic Club,0.0,6.0,1.0,16.7,0.0,0.0,27.0,1.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Huesca
1882,2020-12-22,19:45,La Liga,Matchweek 15,Tue,Home,D,1,1,Levante,1.0,10.0,1.0,10.0,0.0,0.0,16.4,1.0,1.0,1.0,1.6,1.0,0.1,-0.6,-1.0,Huesca
1883,2020-12-30,19:15,La Liga,Matchweek 16,Wed,Away,L,1,2,Celta Vigo,1.0,16.0,6.0,37.5,0.06,0.17,15.8,1.0,0.0,0.0,1.1,1.1,0.07,-0.1,-0.1,Huesca
1884,2021-01-03,21:00,La Liga,Matchweek 17,Sun,Home,L,0,1,Barcelona,0.0,4.0,4.0,100.0,0.0,0.0,14.8,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,Huesca
1886,2021-01-11,21:00,La Liga,Matchweek 18,Mon,Home,L,0,2,Betis,0.0,10.0,3.0,30.0,0.0,0.0,16.2,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,Huesca
1887,2021-01-20,19:00,La Liga,Matchweek 19,Wed,Away,L,0,1,Getafe,0.0,15.0,3.0,20.0,0.0,0.0,17.4,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,Huesca
1888,2021-01-23,14:00,La Liga,Matchweek 20,Sat,Home,D,0,0,Villarreal,0.0,5.0,1.0,20.0,0.0,0.0,20.2,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,Huesca
