,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
30,2022-10-09,18:30,La Liga,Matchweek 8,Sun,Home,W,1,0,Villarreal,1.0,17.0,5.0,29.4,0.06,0.2,16.2,1.0,0.0,0.0,1.8,1.8,0.11,-0.8,-0.8,Real Sociedad
32,2022-08-15,21:30,La Liga,Matchweek 1,Mon,Home,W,3,0,Elche,3.0,17.0,8.0,47.1,0.18,0.38,15.4,2.0,0.0,0.0,3.0,3.0,0.18,0.0,0.0,Real Betis
33,2022-08-20,19:30,La Liga,Matchweek 2,Sat,Away,W,2,1,Mallorca,2.0,6.0,1.0,16.7,0.0,0.0,17.2,0.0,2.0,2.0,2.2,0.7,0.11,-0.2,-0.7,Real Betis
34,2022-08-26,22:00,La Liga,Matchweek 3,Fri,Home,W,1,0,Osasuna,1.0,7.0,1.0,14.3,0.14,1.0,19.0,1.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,Real Betis
35,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Away,L,1,2,Real Madrid,1.0,8.0,4.0,50.0,0.13,0.25,20.5,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,Real Betis
37,2022-09-11,21:00,La Liga,Matchweek 5,Sun,Home,W,1,0,Villarreal,1.0,16.0,5.0,31.3,0.06,0.2,16.9,0.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,Real Betis
39,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Home,W,2,1,Girona,2.0,8.0,2.0,25.0,0.13,0.5,20.1,0.0,1.0,1.0,1.6,0.8,0.11,0.4,0.2,Real Betis
40,2022-10-02,16:15,La Liga,Matchweek 7,Sun,Away,L,0,1,Celta Vigo,0.0,9.0,4.0,44.4,0.0,0.0,13.2,0.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,Real Betis
42,2022-10-09,14:00,La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,0.0,4.0,1.0,25.0,0.0,0.0,15.1,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,Real Betis
44,2022-08-15,19:30,La Liga,Matchweek 1,Mon,Away,W,3,0,Getafe,3.0,12.0,5.0,41.7,0.25,0.6,17.7,1.0,0.0,0.0,1.2,1.2,0.1,1.8,1.8,Atletico Madrid
45,2022-08-21,19:30,La Liga,Matchweek 2,Sun,Home,L,0,2,Villarreal,0.0,13.0,5.0,38.5,0.0,0.0,19.4,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3,Atletico Madrid
