_date_,_time_,comp,round,_day_,home,away,homegoal,xg_home,homeshots,homeshots_on_target,home_distance,home_freekicks,home_penkicks,home_penkicksattempt,awaygoal,xg_away,awayshots,awayshots_on_target,away_distance,away_freekicks,away_penkicks,away_penkicksattempt
2017-09-17,20:45:00,La Liga,Matchweek 4,Sun,Real Sociedad,Real Madrid,1,0.7,10,5,17.1,0,0,0,3,1.5,18,7,15.1,0,0,0
2017-09-17,12:00:00,La Liga,Matchweek 4,Sun,Alavés,Villarreal,0,0.4,16,2,24.1,1,0,0,3,1.9,16,6,15.3,0,0,0
2017-09-18,21:00:00,La Liga,Matchweek 4,Mon,Espanyol,Celta Vigo,2,0.9,10,3,15.4,0,0,0,1,1.0,10,1,18.0,1,0,0
2017-09-19,22:00:00,La Liga,Matchweek 5,Tue,Barcelona,Eibar,6,2.5,10,9,16.2,1,1,1,1,1.1,13,4,17.0,1,0,0
2017-09-19,20:00:00,La Liga,Matchweek 5,Tue,Valencia,Málaga,5,3.1,16,11,17.1,1,0,0,0,0.8,12,2,17.9,2,0,0
2017-09-20,21:00:00,La Liga,Matchweek 5,Wed,La Coruña,Alavés,1,2.1,15,3,15.4,0,0,0,0,0.5,8,3,19.8,0,0,0
2017-09-20,22:00:00,La Liga,Matchweek 5,Wed,Sevilla,Las Palmas,1,1.1,14,9,17.7,0,0,0,0,0.4,7,0,13.8,0,0,0
2017-09-20,20:00:00,La Liga,Matchweek 5,Wed,Leganés,Girona,0,0.8,13,1,19.6,0,0,0,0,1.0,11,1,21.4,0,0,0
2017-09-20,20:00:00,La Liga,Matchweek 5,Wed,Athletic Club,Atlético Madrid,1,2.0,11,6,16.6,0,0,1,2,1.8,16,9,20.4,1,0,0
2017-09-20,22:00:00,La Liga,Matchweek 5,Wed,Real Madrid,Betis,0,3.1,29,6,13.3,0,0,0,1,1.2,12,3,20.6,0,0,0
2017-09-21,20:00:00,La Liga,Matchweek 5,Thu,Villarreal,Espanyol,0,0.9,14,5,19.7,0,0,0,0,1.0,10,3,12.4,0,0,0
2017-09-21,21:00:00,La Liga,Matchweek 5,Thu,Celta Vigo,Getafe,1,0.7,8,4,17.0,0,0,0,1,0.8,10,3,19.5,0,0,0
2017-09-21,22:00:00,La Liga,Matchweek 5,Thu,Levante,Real Sociedad,3,1.6,12,8,20.5,2,1,1,0,1.0,14,3,17.5,1,0,0
2017-09-23,13:00:00,La Liga,Matchweek 6,Sat,Atlético Madrid,Sevilla,2,1.6,13,4,18.3,0,0,0,0,0.5,11,1,18.0,0,0,0
2017-09-23,18:30:00,La Liga,Matchweek 6,Sat,Málaga,Athletic Club,3,1.6,16,7,15.3,0,0,0,3,1.6,7,6,15.5,0,1,1
2017-09-23,16:15:00,La Liga,Matchweek 6,Sat,Alavés,Real Madrid,1,0.7,8,3,18.5,1,0,0,2,3.1,22,7,16.9,1,0,0
2017-09-23,20:45:00,La Liga,Matchweek 6,Sat,Girona,Barcelona,0,1.1,14,2,17.4,1,0,0,3,1.3,10,5,17.7,2,0,0
2017-09-24,12:00:00,La Liga,Matchweek 6,Sun,Espanyol,La Coruña,4,3.1,16,4,18.4,2,1,1,1,1.7,21,6,20.0,0,0,0
2017-09-24,20:45:00,La Liga,Matchweek 6,Sun,Real Sociedad,Valencia,2,0.9,16,6,21.7,2,0,0,3,1.7,12,4,20.1,0,0,0
2017-09-24,16:15:00,La Liga,Matchweek 6,Sun,Getafe,Villarreal,4,2.3,19,8,13.8,1,0,0,0,0.8,8,1,15.0,0,0,0
2017-09-24,17:30:00,La Liga,Matchweek 6,Sun,Las Palmas,Leganés,0,0.6,7,3,22.4,2,0,0,2,1.2,8,3,16.1,0,0,0
2017-09-24,18:30:00,La Liga,Matchweek 6,Sun,Eibar,Celta Vigo,0,0.9,9,0,15.0,0,0,0,4,1.6,11,6,19.9,1,0,0
2017-09-25,21:00:00,La Liga,Matchweek 6,Mon,Betis,Levante,4,2.3,14,6,14.8,0,0,0,0,0.5,8,1,19.8,1,0,0
2017-09-29,21:00:00,La Liga,Matchweek 7,Fri,Celta Vigo,Girona,3,2.4,16,9,13.6,1,0,0,3,1.7,11,6,13.9,0,0,0
2017-09-30,18:30:00,La Liga,Matchweek 7,Sat,Levante,Alavés,0,1.0,13,0,15.9,1,0,0,2,2.3,8,3,12.3,1,0,0
2017-09-30,20:45:00,La Liga,Matchweek 7,Sat,Leganés,Atlético Madrid,0,0.5,8,3,16.5,0,0,0,0,1.1,11,2,15.1,0,0,0
2017-09-30,13:00:00,La Liga,Matchweek 7,Sat,La Coruña,Getafe,2,1.8,16,9,14.8,1,0,0,1,1.5,10,3,13.2,0,0,0
2017-09-30,16:15:00,La Liga,Matchweek 7,Sat,Sevilla,Málaga,2,2.0,11,4,16.5,0,1,1,0,0.5,10,3,20.2,1,0,0
2017-10-01,12:00:00,La Liga,Matchweek 7,Sun,Real Sociedad,Betis,4,1.8,18,6,16.8,0,0,0,4,1.6,10,5,15.4,1,0,0
