_date_,_time_,comp,round,_day_,attendance,referee,home,away,homegoal,xg_home,awaygoal,xg_away,homeformation,awayformation,homepossession,awaypossession,homecaptain,awaycaptain
2017-09-15,21:00:00,La Liga,Matchweek 4,Fri,4986,Juan Martínez,Eibar,Leganés,1,0.5,0,0.2,4-4-2,3-4-3,55.0,45.0,Dani García,Martín Mantovani
2017-09-16,13:00:00,La Liga,Matchweek 4,Sat,23084,Carlos del Cerro,Levante,Valencia,1,0.7,1,1.9,4-2-3-1,4-4-2,46.0,54.0,Pedro López Muñoz,Daniel Parejo
2017-09-16,16:15:00,La Liga,Matchweek 4,Sat,15164,David Fernández,Getafe,Barcelona,1,0.9,2,0.6,4-2-3-1,4-3-3,30.0,70.0,Jorge Molina,Andrés Iniesta
2017-09-16,18:30:00,La Liga,Matchweek 4,Sat,46174,Alberto Undiano,Betis,La Coruña,2,2.0,1,0.4,4-3-3,4-2-3-1,61.0,39.0,Joaquín,Celso Borges
2017-09-16,20:45:00,La Liga,Matchweek 4,Sat,63114,José Sánchez,Atlético Madrid,Málaga,1,1.6,0,0.4,4-2-2-2,4-2-3-1,64.0,36.0,Gabi,Recio
2017-09-17,17:30:00,La Liga,Matchweek 4,Sun,19213,Pablo González,Las Palmas,Athletic Club,1,0.9,0,1.0,4-2-3-1,4-2-3-1,54.0,46.0,Jonathan Viera,Markel Susaeta
2017-09-17,20:45:00,La Liga,Matchweek 4,Sun,24966,Ignacio Iglesias,Real Sociedad,Real Madrid,1,0.7,3,1.5,4-3-3,4-3-3,49.0,51.0,Xabi Prieto,Sergio Ramos
2017-09-17,12:00:00,La Liga,Matchweek 4,Sun,18124,Santiago Jaime,Alavés,Villarreal,0,0.4,3,1.9,4-4-2,4-4-2,48.0,52.0,Fernando Pacheco,Jaume Costa
2017-09-17,16:15:00,La Liga,Matchweek 4,Sun,11032,Ricardo de Burgos,Girona,Sevilla,0,1.6,1,1.3,3-4-3,4-3-3,46.0,54.0,Álex Granell,Daniel Carriço
2017-09-18,21:00:00,La Liga,Matchweek 4,Mon,15026,Alberola Rojas,Espanyol,Celta Vigo,2,0.9,1,1.0,4-4-1-1,4-3-3,36.0,64.0,Víctor Sánchez,Hugo Mallo
2017-09-19,22:00:00,La Liga,Matchweek 5,Tue,51645,Alejandro Hernández,Barcelona,Eibar,6,2.5,1,1.1,4-3-3,4-2-3-1,60.0,40.0,Andrés Iniesta,Dani García
2017-09-19,20:00:00,La Liga,Matchweek 5,Tue,36215,Alfonso Álvarez,Valencia,Málaga,5,3.1,0,0.8,4-4-2,4-1-4-1,49.0,51.0,Daniel Parejo,Recio
2017-09-20,20:00:00,La Liga,Matchweek 5,Wed,43381,Javier Estrada,Athletic Club,Atlético Madrid,1,2.0,2,1.8,4-2-3-1,4-4-2,57.0,43.0,Markel Susaeta,Diego Godín
2017-09-20,22:00:00,La Liga,Matchweek 5,Wed,35317,José González,Sevilla,Las Palmas,1,1.1,0,0.4,4-2-3-1,4-2-3-1,59.0,41.0,Nicolás Pareja,David García
2017-09-20,20:00:00,La Liga,Matchweek 5,Wed,9781,Mario Melero,Leganés,Girona,0,0.8,0,1.0,4-4-2◆,3-4-1-2,58.0,42.0,Martín Mantovani,Álex Granell
2017-09-20,21:00:00,La Liga,Matchweek 5,Wed,18518,David Medié,La Coruña,Alavés,1,2.1,0,0.5,4-4-2,4-2-3-1,58.0,42.0,Juanfran,Manu García
2017-09-20,22:00:00,La Liga,Matchweek 5,Wed,65102,Antonio Matéu Lahoz,Real Madrid,Betis,0,3.1,1,1.2,4-4-2◆,4-3-3,60.0,40.0,Sergio Ramos,Antonio Adán
2017-09-21,20:00:00,La Liga,Matchweek 5,Thu,17094,José Munuera,Villarreal,Espanyol,0,0.9,0,1.0,4-4-2,4-4-1-1,54.0,46.0,Mario Gaspar,Víctor Sánchez
2017-09-21,22:00:00,La Liga,Matchweek 5,Thu,17415,Jesús Gil,Levante,Real Sociedad,3,1.6,0,1.0,4-1-4-1,4-2-3-1,33.0,67.0,Pedro López Muñoz,Xabi Prieto
2017-09-21,21:00:00,La Liga,Matchweek 5,Thu,14700,Daniel Trujillo,Celta Vigo,Getafe,1,0.7,1,0.8,4-3-3,4-2-3-1,65.0,35.0,Hugo Mallo,Jorge Molina
2017-09-23,13:00:00,La Liga,Matchweek 6,Sat,60823,Juan Martínez,Atlético Madrid,Sevilla,2,1.6,0,0.5,4-4-2,4-3-3,40.0,60.0,Gabi,Daniel Carriço
2017-09-23,20:45:00,La Liga,Matchweek 6,Sat,13305,José Sánchez,Girona,Barcelona,0,1.1,3,1.3,3-5-1-1,4-4-2,40.0,60.0,Aday,Lionel Messi
2017-09-23,16:15:00,La Liga,Matchweek 6,Sat,19159,Alberto Undiano,Alavés,Real Madrid,1,0.7,2,3.1,4-2-3-1,4-3-3,33.0,67.0,Manu García,Sergio Ramos
2017-09-23,18:30:00,La Liga,Matchweek 6,Sat,23425,Carlos del Cerro,Málaga,Athletic Club,3,1.6,3,1.6,4-5-1,4-2-3-1,46.0,54.0,Recio,Iker Muniain
2017-09-24,18:30:00,La Liga,Matchweek 6,Sun,5345,David Fernández,Eibar,Celta Vigo,0,0.9,4,1.6,4-4-2,4-2-3-1,49.0,51.0,Dani García,Hugo Mallo
2017-09-24,16:15:00,La Liga,Matchweek 6,Sun,10874,Ignacio Iglesias,Getafe,Villarreal,4,2.3,0,0.8,4-4-2,4-4-2,41.0,59.0,Jorge Molina,Mario Gaspar
2017-09-24,12:00:00,La Liga,Matchweek 6,Sun,19585,Ricardo de Burgos,Espanyol,La Coruña,4,3.1,1,1.7,4-4-2,4-2-3-1,38.0,63.0,Víctor Sánchez,Luisinho
2017-09-24,17:30:00,La Liga,Matchweek 6,Sun,17560,Alberola Rojas,Las Palmas,Leganés,0,0.6,2,1.2,4-2-3-1,4-1-4-1,69.0,31.0,Jonathan Viera,Alexander
2017-09-24,20:45:00,La Liga,Matchweek 6,Sun,20266,Santiago Jaime,Real Sociedad,Valencia,2,0.9,3,1.7,4-1-4-1,4-4-2,59.0,41.0,Xabi Prieto,Daniel Parejo
2017-09-25,21:00:00,La Liga,Matchweek 6,Mon,48237,Pablo González,Betis,Levante,4,2.3,0,0.5,4-1-4-1,4-5-1,68.0,32.0,Joaquín,Pedro López Muñoz
2017-09-29,21:00:00,La Liga,Matchweek 7,Fri,16126,Pablo González,Celta Vigo,Girona,3,2.4,3,1.7,4-3-3,3-4-3,62.0,38.0,Hugo Mallo,Cristhian Stuani
2017-09-30,16:15:00,La Liga,Matchweek 7,Sat,34430,Daniel Trujillo,Sevilla,Málaga,2,2.0,0,0.5,4-3-3,3-5-2,63.0,37.0,Sergio Escudero,Recio
2017-09-30,13:00:00,La Liga,Matchweek 7,Sat,19323,Javier Estrada,La Coruña,Getafe,2,1.8,1,1.5,4-2-3-1,4-4-2,61.0,39.0,Celso Borges,Jorge Molina
2017-09-30,18:30:00,La Liga,Matchweek 7,Sat,18528,David Fernández,Levante,Alavés,0,1.0,2,2.3,4-2-3-1,4-1-4-1,63.0,37.0,Pedro López Muñoz,Manu García
2017-09-30,20:45:00,La Liga,Matchweek 7,Sat,11454,Jesús Gil,Leganés,Atlético Madrid,0,0.5,0,1.1,4-1-4-1,4-4-2,41.0,59.0,Alexander,Gabi
2017-10-01,18:30:00,La Liga,Matchweek 7,Sun,42070,Alejandro Hernández,Valencia,Athletic Club,3,2.3,2,1.6,4-4-2,4-2-3-1,41.0,59.0,Daniel Parejo,Markel Susaeta
2017-10-01,20:45:00,La Liga,Matchweek 7,Sun,71205,José González,Real Madrid,Espanyol,2,2.7,0,0.7,4-4-2◆,4-5-1,64.0,36.0,Sergio Ramos,David López
2017-10-01,18:30:00,La Liga,Matchweek 7,Sun,17090,Mario Melero,Villarreal,Eibar,3,2.5,0,0.2,4-3-1-2◆,4-4-2,59.0,41.0,Mario Gaspar,Dani García
2017-10-01,12:00:00,La Liga,Matchweek 7,Sun,19669,Alfonso Álvarez,Real Sociedad,Betis,4,1.8,4,1.6,4-3-3,4-3-3,56.0,44.0,Xabi Prieto,Joaquín
