_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away,homegoal,awaygoal
11,Sun,2018-11-04,18:30:00,Huesca,1–1,Getafe,6420,Estadio El Alcoraz,Juan Martínez,1.3,1.0,1,1
11,Sun,2018-11-04,12:00:00,Eibar,2–1,Alavés,5660,Estadio Municipal de Ipurúa,Ignacio Iglesias,1.4,0.7,2,1
11,Sun,2018-11-04,20:45:00,Betis,3–3,Celta Vigo,42130,Estadio Benito Villamarín,Javier Estrada,2.1,1.3,3,3
11,Sun,2018-11-04,18:30:00,Real Sociedad,0–0,Sevilla,24882,Estadio Municipal de Anoeta,Eduardo Prieto,0.7,0.4,0,0
11,Mon,2018-11-05,21:00:00,Espanyol,1–0,Athletic Club,14328,RCDE Stadium,Pablo González,1.8,0.5,1,0
12,Fri,2018-11-09,21:00:00,Levante,1–3,Real Sociedad,19890,Estadio Ciudad de Valencia,David Medié,1.0,1.0,1,3
12,Sat,2018-11-10,13:00:00,Valladolid,0–0,Eibar,16038,Estadio Municipal José Zorrilla,Guillermo Cuadra,0.5,1.4,0,0
12,Sat,2018-11-10,16:15:00,Getafe,0–1,Valencia,10011,Coliseum Alfonso Pérez,Ricardo de Burgos,1.8,1.8,0,1
12,Sat,2018-11-10,18:30:00,Atlético Madrid,3–2,Athletic Club,59321,Estadio Wanda Metropolitano,José Sánchez,1.1,1.6,3,2
12,Sat,2018-11-10,20:45:00,Girona,0–0,Leganés,9874,Estadi Municipal de Montilivi,Adrián Cordero,0.6,1.3,0,0
12,Sun,2018-11-11,12:00:00,Alavés,2–1,Huesca,18437,Estadio de Mendizorroza,José Luis Munuera,1.0,0.9,2,1
12,Sun,2018-11-11,16:15:00,Barcelona,3–4,Betis,83174,Camp Nou,Antonio Matéu Lahoz,4.2,2.0,3,4
12,Sun,2018-11-11,18:30:00,Sevilla,2–1,Espanyol,38769,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,3.3,1.5,2,1
12,Sun,2018-11-11,18:30:00,Rayo Vallecano,2–2,Villarreal,11840,Estadio del Rayo Vallecano,José González,2.1,0.7,2,2
12,Sun,2018-11-11,20:45:00,Celta Vigo,2–4,Real Madrid,21184,Estadio de Balaídos,Alberto Undiano,1.5,2.1,2,4
13,Fri,2018-11-23,21:00:00,Leganés,1–0,Alavés,9863,Estadio Municipal de Butarque,Alberola Rojas,0.9,0.3,1,0
13,Sat,2018-11-24,18:30:00,Huesca,2–2,Levante,6459,Estadio El Alcoraz,Javier Estrada,2.3,0.6,2,2
13,Sat,2018-11-24,20:45:00,Atlético Madrid,1–1,Barcelona,67204,Estadio Wanda Metropolitano,Jesús Gil,0.1,0.5,1,1
13,Sat,2018-11-24,16:15:00,Valencia,3–0,Rayo Vallecano,37814,Estadio de Mestalla,Pablo González,1.8,0.7,3,0
13,Sat,2018-11-24,13:00:00,Eibar,3–0,Real Madrid,6435,Estadio Municipal de Ipurúa,Juan Martínez,2.9,0.6,3,0
13,Sun,2018-11-25,18:30:00,Espanyol,1–3,Girona,22716,RCDE Stadium,Alejandro Hernández,2.2,2.5,1,3
13,Sun,2018-11-25,20:45:00,Villarreal,2–1,Betis,16028,Estadio de la Cerámica,Eduardo Prieto,1.0,1.2,2,1
13,Sun,2018-11-25,12:00:00,Athletic Club,1–1,Getafe,39821,San Mamés,Ignacio Iglesias,0.4,2.2,1,1
13,Sun,2018-11-25,16:15:00,Sevilla,1–0,Valladolid,34064,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,2.3,0.6,1,0
13,Mon,2018-11-26,21:00:00,Real Sociedad,2–1,Celta Vigo,17744,Estadio Municipal de Anoeta,Mario Melero,2.1,0.3,2,1
14,Fri,2018-11-30,21:00:00,Rayo Vallecano,1–0,Eibar,11257,Estadio del Rayo Vallecano,Alberto Undiano,0.7,0.7,1,0
14,Sat,2018-12-01,18:30:00,Getafe,3–0,Espanyol,9287,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,1.0,1.1,3,0
14,Sat,2018-12-01,13:00:00,Celta Vigo,2–0,Huesca,13463,Estadio de Balaídos,Adrián Cordero,2.2,0.8,2,0
14,Sat,2018-12-01,16:15:00,Valladolid,2–4,Leganés,16783,Estadio Municipal José Zorrilla,David Medié,2.1,1.5,2,4
14,Sat,2018-12-01,20:45:00,Real Madrid,2–0,Valencia,69653,Estadio Santiago Bernabéu,José González,1.2,0.6,2,0
14,Sun,2018-12-02,18:30:00,Barcelona,2–0,Villarreal,73003,Camp Nou,José Luis Munuera,1.2,0.7,2,0
14,Sun,2018-12-02,16:15:00,Girona,1–1,Atlético Madrid,12104,Estadi Municipal de Montilivi,Ricardo de Burgos,1.4,1.8,1,1
14,Sun,2018-12-02,12:00:00,Betis,1–0,Real Sociedad,46562,Estadio Benito Villamarín,Guillermo Cuadra,0.9,1.0,1,0
14,Sun,2018-12-02,20:45:00,Alavés,1–1,Sevilla,17848,Estadio de Mendizorroza,José Sánchez,1.4,1.9,1,1
14,Mon,2018-12-03,21:00:00,Levante,3–0,Athletic Club,19928,Estadio Ciudad de Valencia,Santiago Jaime,1.7,1.0,3,0
15,Fri,2018-12-07,21:00:00,Leganés,1–1,Getafe,11327,Estadio Municipal de Butarque,Pablo González,1.5,1.2,1,1
15,Sat,2018-12-08,13:00:00,Atlético Madrid,3–0,Alavés,55810,Estadio Wanda Metropolitano,Alejandro Hernández,2.3,1.4,3,0
15,Sat,2018-12-08,16:15:00,Valencia,1–1,Sevilla,40057,Estadio de Mestalla,Javier Estrada,1.2,1.4,1,1
15,Sat,2018-12-08,18:30:00,Villarreal,2–3,Celta Vigo,15720,Estadio de la Cerámica,Jesús Gil,1.5,1.8,2,3
15,Sat,2018-12-08,20:45:00,Espanyol,0–4,Barcelona,24037,RCDE Stadium,Carlos del Cerro,1.1,2.6,0,4
15,Sun,2018-12-09,16:15:00,Huesca,0–1,Real Madrid,7341,Estadio El Alcoraz,Mario Melero,1.1,0.3,0,1
15,Sun,2018-12-09,20:45:00,Betis,2–0,Rayo Vallecano,40218,Estadio Benito Villamarín,Juan Martínez,1.8,1.2,2,0
15,Sun,2018-12-09,18:30:00,Real Sociedad,1–2,Valladolid,23260,Estadio Municipal de Anoeta,Ignacio Iglesias,2.1,1.1,1,2
15,Sun,2018-12-09,12:00:00,Eibar,4–4,Levante,5328,Estadio Municipal de Ipurúa,Alberola Rojas,3.5,3.2,4,4
15,Mon,2018-12-10,21:00:00,Athletic Club,1–0,Girona,34060,San Mamés,Eduardo Prieto,2.1,0.1,1,0
16,Fri,2018-12-14,21:00:00,Celta Vigo,0–0,Leganés,15134,Estadio de Balaídos,José Luis Munuera,0.9,0.7,0,0
16,Sat,2018-12-15,13:00:00,Getafe,1–0,Real Sociedad,9018,Coliseum Alfonso Pérez,Santiago Jaime,0.5,0.8,1,0
16,Sat,2018-12-15,20:45:00,Eibar,1–1,Valencia,4491,Estadio Municipal de Ipurúa,Adrián Cordero,1.4,2.0,1,1
16,Sat,2018-12-15,18:30:00,Real Madrid,1–0,Rayo Vallecano,55229,Estadio Santiago Bernabéu,Ricardo de Burgos,1.2,0.8,1,0
16,Sat,2018-12-15,16:15:00,Valladolid,2–3,Atlético Madrid,22585,Estadio Municipal José Zorrilla,Alberto Undiano,1.0,1.6,2,3
16,Sun,2018-12-16,16:15:00,Espanyol,1–3,Betis,20275,RCDE Stadium,José Sánchez,0.9,1.7,1,3
16,Sun,2018-12-16,12:00:00,Sevilla,2–0,Girona,33542,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,2.6,0.8,2,0
16,Sun,2018-12-16,20:45:00,Levante,0–5,Barcelona,23736,Estadio Ciudad de Valencia,José González,1.1,3.0,0,5
16,Sun,2018-12-16,18:30:00,Huesca,2–2,Villarreal,6455,Estadio El Alcoraz,David Medié,4.0,1.6,2,2
16,Mon,2018-12-17,21:00:00,Alavés,0–0,Athletic Club,19349,Estadio de Mendizorroza,Antonio Matéu Lahoz,0.5,0.4,0,0
17,Fri,2018-12-21,19:30:00,Girona,1–1,Getafe,8450,Estadi Municipal de Montilivi,Alberola Rojas,1.3,0.9,1,1
17,Fri,2018-12-21,21:00:00,Real Sociedad,0–1,Alavés,22431,Estadio Municipal de Anoeta,Javier Estrada,1.3,0.6,0,1
17,Sat,2018-12-22,20:45:00,Athletic Club,1–1,Valladolid,42633,San Mamés,José Sánchez,1.1,0.6,1,1
17,Sat,2018-12-22,18:30:00,Barcelona,2–0,Celta Vigo,78686,Camp Nou,Eduardo Prieto,1.2,0.7,2,0
17,Sat,2018-12-22,16:15:00,Atlético Madrid,1–0,Espanyol,58069,Estadio Wanda Metropolitano,Mario Melero,1.0,1.1,1,0
17,Sat,2018-12-22,13:00:00,Betis,1–1,Eibar,49426,Estadio Benito Villamarín,Carlos del Cerro,1.5,2.0,1,1
17,Sun,2018-12-23,12:00:00,Valencia,2–1,Huesca,36547,Estadio de Mestalla,Jesús Gil,2.6,2.0,2,1
17,Sun,2018-12-23,18:30:00,Rayo Vallecano,2–1,Levante,11206,Estadio del Rayo Vallecano,Ignacio Iglesias,2.1,1.0,2,1
17,Sun,2018-12-23,16:15:00,Leganés,1–1,Sevilla,11321,Estadio Municipal de Butarque,Alejandro Hernández,0.8,0.8,1,1
17,Thu,2019-01-03,21:30:00,Villarreal,2–2,Real Madrid,19903,Estadio de la Cerámica,Pablo González,0.9,1.2,2,2
18,Fri,2019-01-04,21:00:00,Espanyol,1–0,Leganés,15085,RCDE Stadium,José González,1.2,0.4,1,0
18,Fri,2019-01-04,19:00:00,Levante,2–2,Girona,19415,Estadio Ciudad de Valencia,Alberto Undiano,1.6,1.1,2,2
18,Sat,2019-01-05,16:15:00,Alavés,2–1,Valencia,18304,Estadio de Mendizorroza,David Medié,1.8,1.2,2,1
18,Sat,2019-01-05,20:45:00,Huesca,2–1,Betis,6135,Estadio El Alcoraz,Ricardo de Burgos,1.5,1.4,2,1
18,Sat,2019-01-05,13:00:00,Valladolid,0–1,Rayo Vallecano,17261,Estadio Municipal José Zorrilla,Adrián Cordero,1.6,0.9,0,1
18,Sun,2019-01-06,18:30:00,Real Madrid,0–2,Real Sociedad,53412,Estadio Santiago Bernabéu,José Luis Munuera,2.6,2.1,0,2
18,Sun,2019-01-06,20:45:00,Getafe,1–2,Barcelona,14721,Coliseum Alfonso Pérez,Guillermo Cuadra,1.4,2.0,1,2
18,Sun,2019-01-06,16:15:00,Sevilla,1–1,Atlético Madrid,38603,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,1.5,0.8,1,1
18,Sun,2019-01-06,12:00:00,Eibar,0–0,Villarreal,4141,Estadio Municipal de Ipurúa,Santiago Jaime,1.8,0.9,0,0
18,Mon,2019-01-07,21:00:00,Celta Vigo,1–2,Athletic Club,13266,Estadio de Balaídos,Juan Martínez,1.1,1.6,1,2
19,Fri,2019-01-11,21:00:00,Rayo Vallecano,4–2,Celta Vigo,11465,Estadio del Rayo Vallecano,Alberola Rojas,2.0,1.2,4,2
19,Sat,2019-01-12,16:15:00,Valencia,1–1,Valladolid,36912,Estadio de Mestalla,Ignacio Iglesias,2.3,0.1,1,1
19,Sat,2019-01-12,13:00:00,Leganés,1–0,Huesca,10341,Estadio Municipal de Butarque,Mario Melero,1.9,0.5,1,0
19,Sat,2019-01-12,20:45:00,Villarreal,1–2,Getafe,13671,Estadio de la Cerámica,Javier Estrada,1.9,0.9,1,2
19,Sat,2019-01-12,18:30:00,Girona,1–1,Alavés,10303,Estadi Municipal de Montilivi,José Sánchez,0.4,0.8,1,1
19,Sun,2019-01-13,16:15:00,Athletic Club,2–0,Sevilla,41342,San Mamés,Pablo González,1.2,0.8,2,0
19,Sun,2019-01-13,12:00:00,Atlético Madrid,1–0,Levante,57093,Estadio Wanda Metropolitano,Eduardo Prieto,2.3,0.7,1,0
19,Sun,2019-01-13,18:30:00,Barcelona,3–0,Eibar,71039,Camp Nou,Jesús Gil,1.5,0.8,3,0
19,Sun,2019-01-13,20:45:00,Betis,1–2,Real Madrid,54187,Estadio Benito Villamarín,Alejandro Hernández,0.7,0.9,1,2
19,Mon,2019-01-14,21:00:00,Real Sociedad,3–2,Espanyol,17301,Estadio Municipal de Anoeta,Carlos del Cerro,2.1,1.7,3,2
20,Fri,2019-01-18,21:00:00,Getafe,4–0,Alavés,8748,Coliseum Alfonso Pérez,José Luis Munuera,2.0,0.3,4,0
20,Sat,2019-01-19,20:45:00,Celta Vigo,1–2,Valencia,15668,Estadio de Balaídos,José González,0.6,1.5,1,2
20,Sat,2019-01-19,16:15:00,Real Madrid,2–0,Sevilla,68232,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,1.3,0.3,2,0
20,Sat,2019-01-19,18:30:00,Huesca,0–3,Atlético Madrid,7106,Estadio El Alcoraz,Guillermo Cuadra,1.0,2.0,0,3
20,Sun,2019-01-20,12:00:00,Betis,3–2,Girona,47218,Estadio Benito Villamarín,Adrián Cordero,1.6,0.9,3,2
20,Sun,2019-01-20,20:45:00,Barcelona,3–1,Leganés,50670,Camp Nou,Ricardo de Burgos,1.6,0.6,3,1
20,Sun,2019-01-20,18:30:00,Rayo Vallecano,2–2,Real Sociedad,12562,Estadio del Rayo Vallecano,David Medié,0.9,1.7,2,2
20,Sun,2019-01-20,18:30:00,Levante,2–0,Valladolid,19107,Estadio Ciudad de Valencia,Santiago Jaime,1.2,1.2,2,0
20,Sun,2019-01-20,16:15:00,Villarreal,1–1,Athletic Club,17054,Estadio de la Cerámica,Alberto Undiano,1.0,0.6,1,1
20,Mon,2019-01-21,21:00:00,Eibar,3–0,Espanyol,3592,Estadio Municipal de Ipurúa,Juan Martínez,1.6,0.8,3,0
21,Sat,2019-01-26,20:45:00,Valencia,3–0,Villarreal,37685,Estadio de Mestalla,Carlos del Cerro,1.7,0.7,3,0
21,Sat,2019-01-26,13:00:00,Sevilla,5–0,Levante,34220,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,4.8,0.6,5,0
21,Sat,2019-01-26,16:15:00,Atlético Madrid,2–0,Getafe,55709,Estadio Wanda Metropolitano,Ignacio Iglesias,1.1,0.2,2,0
21,Sat,2019-01-26,18:30:00,Leganés,2–2,Eibar,9341,Estadio Municipal de Butarque,Alejandro Hernández,0.7,0.3,2,2
21,Sun,2019-01-27,18:30:00,Real Sociedad,0–0,Huesca,21252,Estadio Municipal de Anoeta,Eduardo Prieto,0.6,0.6,0,0
21,Sun,2019-01-27,18:30:00,Athletic Club,1–0,Betis,40282,San Mamés,Javier Estrada,0.7,0.3,1,0
21,Sun,2019-01-27,20:45:00,Espanyol,2–4,Real Madrid,21215,RCDE Stadium,Jesús Gil,0.9,2.0,2,4
21,Sun,2019-01-27,16:15:00,Girona,0–2,Barcelona,14021,Estadi Municipal de Montilivi,Pablo González,1.2,2.3,0,2
21,Sun,2019-01-27,12:00:00,Valladolid,2–1,Celta Vigo,18416,Estadio Municipal José Zorrilla,José Sánchez,2.3,0.9,2,1
21,Mon,2019-01-28,21:00:00,Alavés,0–1,Rayo Vallecano,13982,Estadio de Mendizorroza,Mario Melero,1.0,0.7,0,1
22,Fri,2019-02-01,21:00:00,Huesca,4–0,Valladolid,6052,Estadio El Alcoraz,José Luis Munuera,1.2,0.5,4,0
22,Sat,2019-02-02,13:00:00,Levante,0–0,Getafe,18437,Estadio Ciudad de Valencia,Adrián Cordero,0.8,0.3,0,0
22,Sat,2019-02-02,16:15:00,Real Sociedad,2–1,Athletic Club,27073,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,1.5,1.2,2,1
22,Sat,2019-02-02,18:30:00,Barcelona,2–2,Valencia,76789,Camp Nou,Alberto Undiano,1.8,2.9,2,2
22,Sat,2019-02-02,20:45:00,Celta Vigo,1–0,Sevilla,17503,Estadio de Balaídos,Ricardo de Burgos,0.7,0.7,1,0
22,Sun,2019-02-03,12:00:00,Villarreal,2–2,Espanyol,15476,Estadio de la Cerámica,Guillermo Cuadra,2.0,1.2,2,2
22,Sun,2019-02-03,16:15:00,Betis,1–0,Atlético Madrid,50864,Estadio Benito Villamarín,David Medié,1.0,0.7,1,0
22,Sun,2019-02-03,18:30:00,Eibar,3–0,Girona,4419,Estadio Municipal de Ipurúa,José González,1.9,0.3,3,0
22,Sun,2019-02-03,20:45:00,Real Madrid,3–0,Alavés,53132,Estadio Santiago Bernabéu,Santiago Jaime,2.3,0.3,3,0
22,Mon,2019-02-04,21:00:00,Rayo Vallecano,1–2,Leganés,11435,Estadio del Rayo Vallecano,Juan Martínez,1.2,0.7,1,2
23,Fri,2019-02-08,21:00:00,Valladolid,0–0,Villarreal,16842,Estadio Municipal José Zorrilla,Alejandro Hernández,0.7,1.1,0,0
23,Sat,2019-02-09,18:30:00,Espanyol,2–1,Rayo Vallecano,22104,RCDE Stadium,Eduardo Prieto,2.0,0.7,2,1
23,Sat,2019-02-09,20:45:00,Girona,0–2,Huesca,10662,Estadi Municipal de Montilivi,Adrián Cordero,1.0,0.5,0,2
23,Sat,2019-02-09,13:00:00,Getafe,3–1,Celta Vigo,9918,Coliseum Alfonso Pérez,Pablo González,3.1,0.7,3,1
23,Sat,2019-02-09,16:15:00,Atlético Madrid,1–3,Real Madrid,67752,Estadio Wanda Metropolitano,Javier Estrada,0.9,1.7,1,3
23,Sun,2019-02-10,12:00:00,Leganés,3–0,Betis,11381,Estadio Municipal de Butarque,Alberola Rojas,1.7,0.2,3,0
23,Sun,2019-02-10,20:45:00,Athletic Club,0–0,Barcelona,47557,San Mamés,Carlos del Cerro,1.4,0.9,0,0
23,Sun,2019-02-10,18:30:00,Sevilla,2–2,Eibar,36343,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,1.3,1.2,2,2
23,Sun,2019-02-10,16:15:00,Valencia,0–0,Real Sociedad,38885,Estadio de Mestalla,Mario Melero,1.0,0.6,0,0
23,Mon,2019-02-11,21:00:00,Alavés,2–0,Levante,13691,Estadio de Mendizorroza,Alberto Undiano,1.7,0.2,2,0
24,Fri,2019-02-15,21:00:00,Eibar,2–2,Getafe,4449,Estadio Municipal de Ipurúa,David Medié,1.6,1.3,2,2
24,Sat,2019-02-16,13:00:00,Celta Vigo,1–4,Levante,15479,Estadio de Balaídos,Santiago Jaime,1.6,2.3,1,4
24,Sat,2019-02-16,16:15:00,Rayo Vallecano,0–1,Atlético Madrid,13880,Estadio del Rayo Vallecano,Jesús Gil,0.6,0.2,0,1
24,Sat,2019-02-16,18:30:00,Real Sociedad,3–0,Leganés,22997,Estadio Municipal de Anoeta,José Luis Munuera,1.5,0.4,3,0
24,Sat,2019-02-16,20:45:00,Barcelona,1–0,Valladolid,67435,Camp Nou,Juan Martínez,3.5,0.4,1,0
24,Sun,2019-02-17,12:00:00,Real Madrid,1–2,Girona,68099,Estadio Santiago Bernabéu,Guillermo Cuadra,1.3,2.1,1,2
24,Sun,2019-02-17,16:15:00,Valencia,0–0,Espanyol,39564,Estadio de Mestalla,Ricardo de Burgos,2.0,0.4,0,0
24,Sun,2019-02-17,18:30:00,Villarreal,3–0,Sevilla,17402,Estadio de la Cerámica,José González,1.5,1.7,3,0
24,Sun,2019-02-17,20:45:00,Betis,1–1,Alavés,43455,Estadio Benito Villamarín,Antonio Matéu Lahoz,2.4,0.5,1,1
24,Mon,2019-02-18,21:00:00,Huesca,0–1,Athletic Club,6729,Estadio El Alcoraz,José Sánchez,1.0,1.2,0,1
25,Fri,2019-02-22,21:00:00,Espanyol,1–1,Huesca,20078,RCDE Stadium,Alejandro Hernández,0.6,1.0,1,1
25,Sat,2019-02-23,13:00:00,Getafe,2–1,Rayo Vallecano,11207,Coliseum Alfonso Pérez,Alberola Rojas,1.5,0.4,2,1
25,Sat,2019-02-23,16:15:00,Sevilla,2–4,Barcelona,40661,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,1.1,1.7,2,4
25,Sat,2019-02-23,18:30:00,Alavés,0–0,Celta Vigo,18882,Estadio de Mendizorroza,Carlos del Cerro,1.1,0.6,0,0
25,Sat,2019-02-23,20:45:00,Athletic Club,1–0,Eibar,43363,San Mamés,Mario Melero,1.5,0.7,1,0
25,Sun,2019-02-24,12:00:00,Leganés,1–1,Valencia,11425,Estadio Municipal de Butarque,Javier Estrada,1.7,0.5,1,1
25,Sun,2019-02-24,16:15:00,Atlético Madrid,2–0,Villarreal,59114,Estadio Wanda Metropolitano,Alberto Undiano,1.4,0.9,2,0
25,Sun,2019-02-24,18:30:00,Valladolid,0–2,Betis,20125,Estadio Municipal José Zorrilla,Pablo González,0.6,0.9,0,2
25,Sun,2019-02-24,20:45:00,Levante,1–2,Real Madrid,23018,Estadio Ciudad de Valencia,Ignacio Iglesias,1.2,2.5,1,2
25,Mon,2019-02-25,21:00:00,Girona,0–0,Real Sociedad,10170,Estadi Municipal de Montilivi,Eduardo Prieto,0.6,0.7,0,0
26,Fri,2019-03-01,21:00:00,Rayo Vallecano,0–2,Girona,12087,Estadio del Rayo Vallecano,Santiago Jaime,0.7,1.4,0,2
26,Sat,2019-03-02,13:00:00,Espanyol,3–1,Valladolid,20467,RCDE Stadium,Adrián Cordero,2.8,1.5,3,1
26,Sat,2019-03-02,16:15:00,Villarreal,1–2,Alavés,15488,Estadio de la Cerámica,José Luis Munuera,1.2,1.5,1,2
26,Sat,2019-03-02,18:30:00,Huesca,2–1,Sevilla,6818,Estadio El Alcoraz,Ricardo de Burgos,0.6,2.1,2,1
26,Sat,2019-03-02,20:45:00,Real Madrid,0–1,Barcelona,78921,Estadio Santiago Bernabéu,Alberto Undiano,1.1,1.6,0,1
26,Sun,2019-03-03,12:00:00,Eibar,1–0,Celta Vigo,4682,Estadio Municipal de Ipurúa,Guillermo Cuadra,2.3,0.9,1,0
26,Sun,2019-03-03,16:15:00,Betis,1–2,Getafe,46657,Estadio Benito Villamarín,Juan Martínez,0.8,1.3,1,2
26,Sun,2019-03-03,18:30:00,Real Sociedad,0–2,Atlético Madrid,26004,Estadio Municipal de Anoeta,José González,1.2,2.0,0,2
26,Sun,2019-03-03,20:45:00,Valencia,2–0,Athletic Club,39041,Estadio de Mestalla,David Medié,1.3,0.3,2,0
26,Mon,2019-03-04,21:00:00,Leganés,1–0,Levante,9758,Estadio Municipal de Butarque,Jesús Gil,1.4,1.5,1,0
27,Fri,2019-03-08,21:00:00,Athletic Club,1–1,Espanyol,38453,San Mamés,Pablo González,0.7,0.4,1,1
27,Sat,2019-03-09,13:00:00,Alavés,1–1,Eibar,18793,Estadio de Mendizorroza,Alberola Rojas,1.8,2.0,1,1
27,Sat,2019-03-09,16:15:00,Atlético Madrid,1–0,Leganés,58321,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,1.3,0.1,1,0
27,Sat,2019-03-09,18:30:00,Barcelona,3–1,Rayo Vallecano,74158,Camp Nou,Mario Melero,2.9,0.3,3,1
27,Sat,2019-03-09,20:45:00,Getafe,2–1,Huesca,10882,Coliseum Alfonso Pérez,Eduardo Prieto,1.6,0.7,2,1
27,Sun,2019-03-10,12:00:00,Celta Vigo,0–1,Betis,18005,Estadio de Balaídos,Javier Estrada,0.5,1.2,0,1
27,Sun,2019-03-10,16:15:00,Girona,2–3,Valencia,11502,Estadi Municipal de Montilivi,Carlos del Cerro,1.9,1.0,2,3
27,Sun,2019-03-10,18:30:00,Sevilla,5–2,Real Sociedad,35813,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,2.0,1.2,5,2
27,Sun,2019-03-10,18:30:00,Levante,0–2,Villarreal,20149,Estadio Ciudad de Valencia,José Sánchez,1.0,0.8,0,2
27,Sun,2019-03-10,20:45:00,Valladolid,1–4,Real Madrid,21914,Estadio Municipal José Zorrilla,Jesús Gil,2.3,2.7,1,4
28,Fri,2019-03-15,21:00:00,Real Sociedad,1–1,Levante,20605,Estadio Municipal de Anoeta,Adrián Cordero,2.0,0.8,1,1
28,Sat,2019-03-16,13:00:00,Huesca,1–3,Alavés,6811,Estadio El Alcoraz,Alberto Undiano,1.5,2.0,1,3
28,Sat,2019-03-16,16:15:00,Real Madrid,2–0,Celta Vigo,65054,Estadio Santiago Bernabéu,Juan Martínez,2.3,0.4,2,0
28,Sat,2019-03-16,18:30:00,Athletic Club,2–0,Atlético Madrid,39659,San Mamés,Santiago Jaime,1.1,0.6,2,0
28,Sat,2019-03-16,20:45:00,Leganés,0–2,Girona,9873,Estadio Municipal de Butarque,José Luis Munuera,0.5,1.3,0,2
28,Sun,2019-03-17,12:00:00,Eibar,1–2,Valladolid,4508,Estadio Municipal de Ipurúa,David Medié,1.4,2.0,1,2
28,Sun,2019-03-17,16:15:00,Espanyol,0–1,Sevilla,20219,RCDE Stadium,Guillermo Cuadra,0.8,1.2,0,1
28,Sun,2019-03-17,18:30:00,Valencia,0–0,Getafe,41778,Estadio de Mestalla,José Sánchez,0.5,0.3,0,0
